Scenario,Risk_Level,Cause_of_Accident,Keywords
"At 2:45 p.m. on October 27, 2021, an employee worked behind a bulldozer (CAT D3) to perform site grading activities. At some point, the bulldozer began to back up when it struck and ran over the employee. The employee received multiple fractures, lacerations, contusions, and crush injuries to internal organs, and was killed.",High,Struck By Object,"backing up, bulldozer, construction vehicle, contusion, crushed"
"At 12:05 a.m. on November 16, 2023, an employee was driving a tractor trailer on Interstate 87. The truck driver was traveling north on Interstate 87, when he pulled the truck over in a construction zone on a bridge. The employee exited the cab of the truck, climbed onto a jersey barrier, and then fell or jumped over the side of the barrier. The employee fell from the interstate onto the county route underneath the bridge, sustaining multiple injuries and fractures. The employee died while enroute to the hospital.",High,Transportation Incidents,"bridge, construction, driving, e c (construction), fall"
"At 10:30 a.m. on April 5, 2024, an Employee #1 and Employee #2 were working for a window and door contractor were installing a metal awning on the front of a commercial building. At the time, two drivers in two separate cars were racing down the road. One of the drivers lost control of the car coming around a curve. The car careened off the road and struck both employees running them over. Employee #1 sustained multiple blunt force trauma of his chest, back and abdomen and died. Employee #2 received medical treatment without hospitalization for head injuries.",High,Struck By Object,"abdomen, back, blunt force, blunt force trauma, chest"
"At 10:00 a.m. on September 22, 2023, an employee working as an equipment operator for a masonry contractor was driving a JCB 506-36 Rough Terrain Forklift on an unstable grade. The employee had just finished removing a scaffold. The forklift became unstable and tipped over crushing the employee's head and killing him.",High,Transportation Incidents,"commercial building, construction, construction vehicle, crushed, equipment operator"
"At 9:40 a.m. on September 21, 2022, an employee was part of a crew clearing a ditch alongside a road that was causing flooding in a field. Due to the position of the sun rising, the crew decided to wait until the sun was up higher in the sky since the work required traffic control on a rural road. The work crew consisting of the employee and Coworkers #1, #2 and #3 set up road signage to alert traffic to the pending work. While the employee was flagging traffic, Coworker #1 was operating a Gradall, Model XL4100, Serial 4150000118 excavator. The Gradall excavator has two cabs, with the upper cab used for driving the Gradall and working the excavator and the lower cab used to drive the Gradall while on the road. Coworker #1 was driving the Gradall from the lower cab and backing the vehicle down the edge of the road to the area where the ditch needed cleaning. Coworkers #2 and #3 were at the intersection approximately 100 feet away. As Coworker #1 was backing up the Gradall, he was watching out the mirror because the lower cab does not have a camera. Although the upper cab does have a camera, they are not in use while operating the Gradall from the lower cab. Coworker #1 did not see that the employee was behind the Gradall and felt a bump while he was backing up. When Coworker #1 stopped the Gradall and got out to see what the bump was from, he saw the employee under the Gradall. Coworker #1 started yelling and motioned for Coworker #2 and #3 to come over. The coworkers called 911 and the employer's office, and emergency services personnel took over the scene when they arrived. The employee was killed by multiple crushing injuries incurred when he was run over by the excavator.",High,Transportation Incidents,"construction, construction vehicle, crushed, crushing, ditch"
"At 3:30 a.m. on September 9, 2023, an employee was tasked with walking the edges of the highway placement area with a backpack blower. While performing duties in a highway construction work zone, a private vehicle drove through the erected construction barricades, struck the employee, and drove off. The employee was killed.",High,Transportation Incidents,"construction, highway, highway shoulder, highway work zone, motor vehicle"
"At 11:30 a.m. on September 15, 2023, an employee operating an air wand for a road paving and surfacing company was cleaning out road cracks with compressed air. The employee was standing in front of a Ford F250 Truck towing the compressor. Coworker #1 was working from the bed of the tow vehicle operating a heat torch connected to a propane tank. Coworker #2 was operating the truck and appeared to fall asleep when he inadvertently stepped on the gas pedal. Coworker #2 lost control of the truck and ran over the employee. Coworker #1 was not injured. The employee amputated his leg and sustained multiple fractures and died.",High,Transportation Incidents,"amputated, amputation, asphalt, cleaning, construction"
"At 12:30 p.m. on December 2, 2023, Employee #1 was working for a site preparation contractor. Employee #1 was rolling up water hoses that had been used to wet the soil in earth moving operations. A coworker was operating a front-end loader in the same area while leveling the soil with the bucket. Employee #1 was struck and run over by the bucket of the front-end loader while bending over to roll up a water hose, suffering a fatality.",High,Struck By Object,"blunt force, blunt force trauma, bucket, construction vehicle, crushed"
"At 12:04 a.m. on May 5, 2023, an employee was working as a flagman for a highway and bridges contractor. The employee was working on an asphalt crew tasked with paving at an intersection of a boulevard and a drive. The employee was in a traffic control vehicle that was parked in the lot of a bar when he observed a car turning from a state route onto the drive where the crew was working. The employee exited his vehicle and approached the car that had turned onto the drive presumably to stop the vehicle. Instead, the vehicle struck the employee causing him to roll over the top of car, over the hood, onto the windshield and off right side of the car onto the pavement. The employee sustained head injuries including a concussion and a fractured skull that killed him.",High,Transportation Incidents,"asphalt, blunt force, blunt force trauma, concussion, construction"
"At 1:45 p.m. on October 6, 2021, an employee completed an inspection of a vehicle battery and began to walk through the work area. A front-end loader, backed up, and struck the employee, who was killed by crush injuries to the whole body.",High,Struck By Object,"backing up, construction vehicle, crushed, front end loader, run over"
"At 11:05 a.m. on March 3, 2023, an employee working as a mechanic for a company that supplies heavy equipment for construction was working on the brakes of an attenuation truck. The vehicle shifted and fell on the employee. The employee was crushed by the truck and died.",High,Transportation Incidents,"automotive repair, brake, construction, construction vehicle, crushed"
"At 2:00 p.m. on October 11, 2022, an employee who was in training and Coworker #1 (employee trainer) were sitting inside the cabin of a CAT Caterpillar 740 Off-Highway Truck (Unit 285) at the bottom part of the hill. They were waiting for Coworker #2, who driving a CAT 740E Truck (Unit 366), to finish dumping dirt on the other side of the hill. Coworker #2 was working at a 12-degree angle as he dumped the dirt from the truck. When Coworker #2 maneuvered his truck to the top of the hill he lost power. Coworker #2 had no control and could not stop the truck causing it to roll backwards until it hit the other vehicle. Coworker #1 panicked and got out of the vehicle on the left side. The site believes that when the vehicles collided, the employee was run over by the truck. EMS was called and an ambulance arrived on site, The employee opened his eyes as he was carried out on a gurney, but he was pronounced dead at the hospital. The Deputy Coroner reported that the cause of death was traumatic crushing injures due to partial ejection from vehicle after collisions between construction equipment and motor vehicles.",High,Transportation Incidents,"caught between, chest, collision, construction, construction vehicle"
"At 2:00 p.m. on September 9, 2022, an employee was standing inside a closed electric gate trying to get the attention of a coworker who was outside the gate. Coworker #1 needed to be let in, but the gate required a code to open. Coworker #2 (the company owner) exited his white Chevrolet Colorado pickup truck and walked down to the gate to provide the code to the employee and Coworker #1. The truck began to roll down the driveway and struck the employee crushing and killing him. Coworker #2 had not put the truck into PARK prior to exiting the vehicle.",High,Struck By Object,"chest, construction, construction vehicle, crushed, distracted"
"At 9:45 a.m. on August 2, 2022, an employee was delivering a Bobcat, Model S630, Product #AHGL11923 compact skid steer loader to a residential construction site. The employee was the sole owner-operator of the towing company, and was hired by the company replacing a driveway to deliver equipment to the site. The employee was in the process of unloading the skid steer from the Hino 258 flatbed truck by attempting to reverse down the ramp and off the flatbed at the construction site. However, the employee was having difficulties reversing the skid steer down the ramp, as wire material was later found wrapped around the skid steer's rear left wheel that impeded the vehicle to move in reverse. The employee was troubleshooting and disconnecting the truck's winch. The employee reached through the rear of the bucket and lift arm to disconnect the chain hooks and removed one chain hook from the skid steer's front connection point. The employee reached to toggle the skid steer's joystick and lower the lift arm to reach the remaining chain hook to remove it. However, the employee toggled the wrong joystick and activated the lifting function for the bucket instead of the lifting function for the lift arm. The employee was later found pinned between the rear of the skid steer's bucket and left lift arm. The employee was killed by crushing injuries to the torso and head. There were no witnesses to the incident.",High,Transportation Incidents,"caught between, caught in, construction, crushed, crushing"
"At 12:30 p.m. on February 9, 2024, Employee #1 was working for a road construction contractor. Employee #1 was operating a bulldozer. Employee #1 was crushed by the dozer he was operating and consequently found unresponsive next to the bulldozer.",High,Caught In Between,"bulldozer, construction vehicle, crushed, dozer, equipment operator"
"At 10:30 a.m. on June 15, 2022, an employee was operating a roller on a roadway when he rolled off of the 15- degree sloped shoulder. The roller fell approximately 25 feet taking the employee with it. There were no eyewitnesses to the incident and the employee was found lying beside the turned over equipment. The employee had been killed at the site. EMS arrived and evaluated the employee before transporting him to the hospital.",High,Struck By Object,"construction, construction vehicle, crushed, driving, falling object"
"At 9:00 a.m. on September 14, 2022, an employee whow worked for a contractor died after his head was crushed by an excavator bucket. At the time of the narrative was written, it was not known what specifically caused the incident.",High,Struck By Object,"blunt force, blunt force trauma, bucket, construction, construction vehicle"
"At 1:40 p.m. on April 26, 2022, an employee was operating a road paving screed during a project. A coworker driving a dump truck loaded w approximately 6 to 7 tons of asphalt was instructed to back up to the screed. While backing up, the truck driver struck and ran over the employee after he fell into the path of the dump truck. The employee incurred head trauma and was killed.",High,Struck By Object,"back-up alarm, backing up, blunt force, blunt force trauma, construction"
"At 11:00 a.m. on September 14, 2022, an employee was digging a trench during construction activities along a roadway. A motor vehicle entered the work area and struck the employee who was killed by blunt force trauma injuries sustained during the impact.",High,Struck By Object,"blunt force, blunt force trauma, construction, highway work zone, motor vehicle"
"At 3:30 p.m. on November 15, 2022, an employee was conducting compaction and moisture testing. He went into an area where a bulldozer was grading the soil without notifying anyone. The bulldozer struck the employee, killing him.",High,Struck By Object,"bulldozer, construction vehicle, pedestrian, struck by, testing"
"At 3:37 p.m. on June 9, 2022, an employee was ready to set the last joist for the day and was reversing the rough- terrain forklift with the boom fully extended. The rear operator's side tire went into an approximately 16-inch-deep drop-off from grade, resulting in the forklift rolling over. The employee was pinned to the ground by the rollover protection system (ROPS). The employee incurred crushing injuries and died.",High,Transportation Incidents,"construction, construction vehicle, crushed, forklift, fracture"
"At 8:15 a.m. on March 3, 2023, an employee working as a construction laborer for a county roads department was flagging traffic. The employee was struck by the brush guard of an oncoming vehicle and pinned to the tailgate of road work vehicle. The employee was crushed between the vehicles and died.",High,Caught In Between,"blunt force, blunt force trauma, construction, construction vehicle, crushed"
"At 2:15 a.m. on June 29, 2022, an employee was performing traffic services in a construction area close to his vehicle. The employee's vehicle displayed red and blue lights . A vehicle drove through barricades, striking and killing the employee. The vehicle's driver was arrested for intoxication assault and manslaughter.",High,Transportation Incidents,"automobile, construction, intoxicated, pedestrian, road"
"At 9:00 a.m. on June 14, 2022, an employee was driving with a coworker in a flat-bed truck when they lost control of the vehicle on a 13-degree sloped residential driveway they were repaving. The truck collided with a Bobcat T740 skid steer loader carrying two coworkers. Both vehicles were thrown off the road and into a wooded cliff. The employee was hospitalized with a fracture to his tibia and eye socket. The coworkers in the loader were killed and the coworker in the truck was hospitalized, but details of those cases are not included in the narrative.",Medium,Transportation Incidents,"blunt force, blunt force trauma, collision, eye, flatbed truck"
"At 2:30 p.m. on December 18, 2020, Employee #1, employed by a building construction company, was on the construction site for a new commercial building. The employee was talking with the operator of a stationary roller. A dump truck backed up and struck Employee #1, pinning and crushing him between the dump truck rear tire and the roller's front wheel. Employee #1 sustained blunt force traumatic crushing injuries and was killed.",High,Transportation Incidents,"back-up alarm, backing up, blunt force trauma, construction, construction vehicle"
"At 1:32 p.m. on April 1, 2022, an employee was preforming flagging and temporary traffic control work activities during the new construction of a roadway. The employee was directing traffic in and out of a gas station. There were multiple construction vehicles operating within close proximity of the employee. While the employee was directing traffic, a street sweeper was backing up towards the employee's back, when it struck the employee, causing the employee to fall face forward on the ground. The street sweeper proceeded to back up, crushing the employee underneath. The employee sustained fatal injuries.",High,Transportation Incidents,"construction, construction vehicle, crushed, fall, flagger"
"At 1:00 a.m. on June 14, 2022, an employee was working as part of a road paving crew and was taping over a manhole cover when he was run over by a truck that was backing up. The employee was crushed, suffered traumatic injuries to his torso, and was killed.",High,Transportation Incidents,"blunt force, blunt force trauma, chest, construction vehicle, crushed"
"At 6:30 p.m. on June 21, 2024, an employee working as a laborer for a site preparation contractor was operating a Lay-Mor Steel Drum Roller on a private commercial property. the employee was working with a coworker (the company owner) expanding a parking lot/loading dock onto an existing commercial building. The employee was operating the drum roller to compact asphalt grindings. he was attempting to clean up the edges when the drum roller overturned landing on the employee. The drum roller, which was possibly manufactured in the 1950s, was not equipped with ROPS or a seatbelt. It was equipped with a 28-horsepower motor and 36-inch-wide steel drums. The employee died from crush injuries including head injuries.",High,Electrocution,"asphalt, caught between, commercial building, construction, construction vehicle"
"At 11:15 a.m. on May 17, 2022, an employee was driving an American Landmaster Bulldog side-by-side utility terrain vehicle (UTV). The employee was using the vehicle to move tools and personnel within a construction site for a new industrial building. The employee made a sharp turn to the right, causing the UTV to roll over and ejecting the employee from the vehicle. The employee was killed by a concussion when his head struck against either the UTV's roll bar or the concrete floor. Although the UTV was equipped with a seat belt, the employee was not wearing one at the time of the incident.",High,Transportation Incidents,"atv, concussion, construction, ejected, motor vehicle"
"On June 29, 2022, an employee fell from the forks of the skid steer to the top of the vehicle. The employee was crushed between the arms and top of the skid steer when his coworker who was operating the vehicle lowered the arms. The employee was killed.",High,Caught In Between,"abdomen, arm, construction, construction vehicle, crushed"
"At 3:30 p.m. on September 28, 2022, an employee was standing in the middle of a closed road when he was struck and crushed by a dump truck backing down the road. The employee was pronounced dead by emergency personnel at the scene.",High,Transportation Incidents,"backing up, construction, crushed, crushing, dump truck"
"At 8:39 a.m. on May 5, 2022, an employee had finished moving residential trash from the side of a road to provide room for his coworker to back up an Izuzu Model NPR Flatbed Truck. The employee was then guiding the coworker when the coworker struck a car, jumped a curb, struck a garbage can and hit and dragged the employee up into the driveway. The employee was pinned between the truck and a parked car, crushing him. The employee incurred abdominal and chest trauma and transported to the hospital, where he was pronounced dead.",High,Struck By Object,"abdomen, abrasion, chest, collision, construction"
"At 8:10 a.m. on December 16, 2021, an employee cut a sidewalk with a concrete saw. At some point, a skid steer, being operated in reverse, backed onto the employee. The employee received multiple bone fractures and internal injuries. The employee was hospitalized and died thirty days later from the injuries.",High,Contact With Objects,"backing up, concrete, construction vehicle, cutting, fracture"
"At 4:52 p.m. on September 29, 2022, an employee was flagging traffic as work was being conducted on a guard rail system when he stopped south bound traffic but a vehicle failed to stop and struck him. The employee died from his injuries.",High,Transportation Incidents,"blunt force, blunt force trauma, construction, flagger, flagman"
"At 10:00 p.m. on February 22, 2024, an employee and a coworker who were working as construction laborers for a concrete contractor were riding on the tailgate of a pickup truck to a new location. The crew was moving a 20-foot piece of lumber to the new location on the jobsite. The employee and the coworker had laid the piece of wood across the toolbox in the bed of the truck. While driving, the wood was hanging off the side the truck causing it to strike a stationary wire reel that lay in their path. This caused the piece wood to be thrown backward striking the employee and the coworker. The employee was thrown from the truck causing him to strike his head on the ground. He was hospitalized and died from his injuries two days later. The coworker also sustained injuries but survived.",High,Transportation Incidents,"blunt force, blunt force trauma, concrete form work, construction, construction vehicle"
"At 8:45 a.m. on August 2, 2022, an employee was supporting main sewer line installation by retrieving and holding tools for his coworkers. The employee approached an excavator in operation and was struck by the lift bucket. The employee was killed by multiple injuries incurred when struck by the excavator bucket.",High,Struck By Object,"construction, excavator, lift bucket, misjudgment, misjudgment of hazardous situation"
"At 1:36 p.m. on April 15, 2024, an employee working as a sales driver for a building materials supplier was delivering rebar bundles to a residential construction site. The employee was operating a Moffett M5500 forklift powered industrial vehicle (PIV) when the PIV tipped over. The employee was not wearing the seatbelt and landed outside the rollover protective structure (ROPS). The employee was crushed by the PIV and died as a result.",High,Transportation Incidents,"caught between, construction, construction vehicle, crushed, delivery work"
"At 1:30 p.m. on April 15, 2022, an employee was walking around the mini excavator to retrieve an item from the back of a truck. As the excavator reversed, the employee was struck, knocked to the ground, and driven onto. The excavator ran over the left leg, groin and then stomach. His coworker, the excavator operator, was directed to move the vehicle off the employee and pulled forward. The employee later died due to internal injuries and an infection.",High,Transportation Incidents,"backing up, construction vehicle, excavator, infection, internal injuries"
"At 7:15 p.m. on May 31, 2023, an employee was inside a Porta-John and an articulating off road dump truck slipped off a berm, causing the back end of the dump truck to tip over on the Porta-John. The employee sustained crushing injuries to his vital organs and head. The employee was killed.",High,Transportation Incidents,"construction vehicle, crushed, crushing, dump truck, head"
"At 3:30 p.m. on October 11, 2021, an employee was riding on a vehicle tailgate setting up construction project warning signs against company policy. The employee was removing the signs from a trailer in tow when a wind gust lifted up a stack of signs. The employee leaned back to hold the signs down, but fell to the ground and was run over by the trailer and killed.",High,Transportation Incidents,"abdomen, abrasion, ankle, arm, back"
"At 11:30 a.m. on December 11, 2023, Employee #1 was working for a Utility Contractor. Employee #1 was retrieving parts and materials form a storage trailer. Employee #1 drove a front-end loader to the storage trailer where he placed the items in the implement bucket for transport. The front-end loader rolled forward and pinned Employee #1 between the doors of the storage trailer and the loader bucket. The employee suffered crushing injuries, causing his fatality.",High,Caught In Between,"bucket, caught between, construction vehicle, crushed, front end loader"
"At 5:09 p.m. on September 21, 2023, an employee working as a laborer for a masonry contractor was working with a crew submerging 6-foot steel beams into 3-foot holes filled with concrete. The concrete began to dry and harden faster than expected making it hard to manually insert the beams. A coworker instructed the employee to operate the skid steer with the bucket filled with freshly poured concrete to push the beams further into the concrete filled hole. The employee kneeled down on the opposite side of the steel beam and the skid steer while holding the beam steady with both hands. He raised the bucket over the beam and used the bucket filled with concrete to force the beams down into the hole. While attempting to force the third beam down, the skid steer lifted up and tipped over. The employee was crushed under the weight of the skid steer and died.",High,Caught In Between,"concrete, construction, construction vehicle, crushed, erection process"
"At 6:00 p.m. on February 17, 2024, Employee was working for a site preparation contractor. Employee #1 was pushing soil with a Caterpillar Crawler Bulldozer, Model D5K2 LGP to the edge of the excavation/retention pond which was under construction. The foot of Employee #1 slipped off the bulldozer's deceleration pedal causing the dozer to accelerate and tip over into the excavation/future retention pond. Employee #1 suffered lacerations to right arm, a sprained right wrist, sprained neck, as well as head injuries including the eye. The cumulative injuries resulted in the fatality of Employee #1.",High,Falls,"arm, bulldozer, construction vehicle, dozer, excavation"
"At 4:00 p.m. on March 3, 2021, Employee #1 and a coworker, employed by a road and bridge construction company, were working at a project site. Employee #1, the project foreman, had instructed the coworker, who was operating a front end loader, to move a sand pile into another position to make way for a new sand pile. As the foreman walked along a public roadway toward the sand pile, the coworker began backing up the front end loader toward the sand pile. The foreman walked into the blind spot of the front end loader. The coworker could not see the foreman, although he later reported that he had checked the back up camera and mirror and had turned around to check for traffic. The front end loader struck the foreman, who sustained blunt force traumatic injuries. Emergency services transported the foreman to the hospital, where he was pronounced dead. The subsequent police report stated that the back-up alarm on the front end loader was operational.",High,Struck By Object,"backing up, blunt force trauma, construction, construction vehicle, crushed"
"At 8:00 a.m. on June 29, 2022, an employee, who worked as a Gravel Checker, was walking behind a Caterpillar 14H Model 1411 Motor Grader. The employee was walking across the work zone travelling from the south traffic lane of a roadway to the northeast non-traffic side of the road. The coworker operating the grader began to back up and struck the employee running him over with the left two rear tires and killing him.",High,Struck By Object,"abdomen, abrasion, backing up, construction, construction vehicle"
"At 3:45 p.m. on May 4, 2022, an employee was operating a Polaris side-by-side UTV on a construction site while performing soil density testing. A Caterpillar Model #730 off road dump truck, operating on the site, began backing up, striking the UTV and fatally injuring the employee operating the UTV. The employee was killed due to blunt force trauma.",High,Transportation Incidents,"backing up, blunt force trauma, construction, dump truck, struck by"
"At 12:30 p.m. on April 24, 2024, an employee working as a carpenter for a framing contractor was trying to hot start a a SkyTrak using a Ford 150. The employee connected the positive battery terminal of the truck to positive terminal of the starter on the SkyTrak. The SkyTrak started up on the 5th attempt and immediately started rolling backwards striking the employee and then pulling him underneath the tires. The employee died from multiple crushing injuries to his lower body.",High,Transportation Incidents,"battery, battery charger, carpenter, construction, crushed"
"At 8:00 am, on October 4, 2023, Employee #1 was working for a plumbing/HVAC contractor. Employee #1 was carrying a jackhammer in a work zone when he was struck by a vehicle. The incident led to the fatality of Employee #1.",High,Transportation Incidents,"construction vehicle, highway work zone, hvac, jackhammer, motor vehicle"
"At 3:30 p.m. on August 12, 2024, an employee working for a residential remodeler was sitting on the ground using a hand saw to cut a fence. The employee was working in close proximity to a Kubota KX080-4 excavator. The coworker operating the excavator was using the bucket to knock down the fence. The employee was killed when the bucket struck him in the head.",High,Struck By Object,"bucket, construction, construction vehicle, cutting, demolish"
"At 7:10 a.m. on September 15, 2022, an employee was operating a front-end loader during paving during residential construction. The employee fell out of the front loader cabin while the vehicle was operating. The front end loader's left rear tire ran over the employee's head. The employee was killed by crushing injury, fracture and concussion to the head.",High,Struck By Object,"concussion, construction vehicle, crushed, crushing, equipment operator"
"On March 11, 2023, an employee working for a roads and bridges construction company was attempting to dump a load of dirt onto a stockpile. The truck bed would not fully extend and got stuck. The employee climbed under the truck bed and attempted to troubleshoot the problem. Then, he climbed on top of the frame of the truck. The hydraulics gave out and the bed collapsed crushing the employee's head and body, killing him.",High,Struck By Object,"collapse, construction, construction vehicle, crushed, dump truck"
"At 3:10 p.m. on August 2, 2024, Employee #1 was discussing the next phase of work with the client and coworkers at a construction site when a driver, who was either inattentive or had fallen asleep at the wheel, veered off the road and into the work zone. The vehicle struck multiple traffic cones before hitting Employee #1. The driver then fled the scene without stopping. Employee #1 sustained fatal injuries and was pronounced dead at the scene.",High,Struck By Object,"blunt force, blunt force trauma, construction, fell asleep, highway work zone"
"At 1:15 a.m. on July 27, 2024, an employee working as a construction laborer for a mechanical contractor was driving a Unicarrier Forklift (PIV) along the east side of a department store. The employee drove around a shelter at the northeast corner of the store. The employee was driving the PIV onto a slope when the front right tire left the edge of the compacted earth and sunk into the adjacent softer soil. The PIV tipped over and the cage came to a rest on top of the employee. The employee sustained a subtotal amputation of his left arm, a fractured humerus, multiple pelvic fractures, bilateral conjunctival and scleral hemorrhage and vascular congestion of the chest, neck, and face. The employee died from traumatic compression and blunt force injury.",High,Falls,"amputation, blunt force, blunt force trauma, construction, construction vehicle"
"At 4:06 p.m. on August 19, 2024, an employee working for a cabinet contractor was working at a new home construction site. The employee was working with Coworker #1, delivery supervisor, delivering cabinets to the job site. The employee had just finished a rest break and was walking towards the loaded trailer preparing to continue delivering the cabinets. The employee suddenly collapsed and died. According to the County Sheriff's Office Coroner, the preliminary cause of death was determined to be hypertensive cardiovascular disease and was categorized as natural.",High,Struck By Object,"break, cardiovasc disease, cardiovasc system, collapse, construction"
"At 11:00 a.m. on July 25, 2024, an employee working as a construction laborer for a site preparation contractor was operating a John Deere Excavator 200D (Serial Number: 1FF200DXPBD513272). The employee was working in the Phase 3 area of a project, clearing trees and placing them in a large pile for burning. A broken tree penetrated the cab when the employee moved the excavator forward. The tree crushed the operating pedals, causing the employee to lose control of the machine as it continued to move forward. At that time, another broken horizontal tree base penetrated the cab of the machine striking and crushing the employee. The employee died from severe blunt force trauma to his body.",High,Caught In Between,"abdomen, blunt force, blunt force trauma, construction, construction vehicle"
"At 1:03 p.m. on August 22, 2024, an employee working as a steel worker for a construction contractor was wrapping a synthetic sling around a steel beam. A coworker operating a rough terrain forklift adjusted the forks stabilizing the beam in an upright position. This caused the beam to fall over onto the employee as he was wrapping the beam. The employee died from crushing injuries to his chest.",High,Falls,"beam, chest, construction, construction vehicle, contusion"
"At 10:30 a.m. on June 21, 2024, an employee working for an electrical contractor was helping direct a boom crane. It is believed that one of the riggers failed causing the vehicle to become high center and overturn on the passenger side. The employee was struck by the boom on the falling crane. The employee died from blunt trauma, including a fractured back.",High,Electrocution,"back, blunt force, blunt force trauma, boom, construction"
"At 10:10 a.m. on September 12, 2024, Employee #1, employed by a tree-trimming company, was acting as a flagger to direct traffic while a coworker trimmed trees nearby. During the task, he was struck by a passing motor vehicle. The side mirror of the vehicle made contact with Employee #1, who sustained fatal injuries to his back.",High,Transportation Incidents,"back, blunt force, blunt force trauma, construction vehicle, contact"
"At 10:15 a.m. on August 26, 2024, an employee working for a construction contractor was working around the equipment. The employee was standing behind a truck when he was struck by a dump truck. The employee died from multiple blunt force trauma.",High,Struck By Object,"blunt force, blunt force trauma, construction, construction vehicle, dump truck"
"At 3:00 p.m. on August 24, 2024, an employee working as a heavy equipment operator for a construction contractor was checking on the status of a piling machine. The piling equipment engaged while the employee was positioned in the equipment. The employee died from crushing head injuries.",High,Transportation Incidents,"building, construction, construction vehicle, crushed, energized"
"At approximately 2:38 p.m. on September 23, 2024, an employee was attempting to remove a water pump from a 2019 Buick Encore SUV. While using a scissor jack to lift the vehicle, the jack slipped, causing the front end of the vehicle to drop onto the employee's chest. The employee died at the scene. The cause of death is currently unknown pending the coroner's report.",High,Electrocution,"blunt force, blunt force trauma, chest, construction vehicle, crushed"
"At 7:30 a.m. on July 31, 2024, an employee working for a construction contractor was demolishing the concrete portion of a train track. The employee was operating an excavator with a chip and hammer attachment. The employee did not remove the chip and hammer when he attempted to move a metal surface piece used as platform base. The counterweight caused the excavator to fall from the elevated guideway 30 feet to the ground. The inside of the cabin was crushed, killing the employee.",High,Falls,"attachment, blunt force, blunt force trauma, caught in, chipper"
"At 5:17 p.m. on August 23, 2024, an employee working as construction laborer for a site preparation contractor was assisting with the repair of a Caterpillar 308 Excavator that had malfunctioned. A coworker, the excavator operator, was investigating and fixing the problem when he told the employee to back up as he began to operate the bucket. The employee stepped out of the way as the coworker moved the bucket. But the employee decided to walk back into the operation zone, presumably to observe the pin alignment on the bucket. At the same time, the coworker moved the bucket striking the employee in the chest and pushing him against a loader. The coworker immediately disengaged the machine and aided the employee. The employee collapsed at which time the coworker called 911. CPR was performed following the instructions of the 911 dispatcher. The employee was transported to the hospital via ambulance, where the employee later died from crushing injuries to the chest and abdomen.",High,Struck By Object,"abdomen, bucket, catch point, chest, construction"
"At 10:15 a.m. on August 29, 2024, an employee working as a pipefitter for a residential building contractor was working inside a trench. The employee was struck by the 30-inch bucket of a Kobelco excavator and pinned between the bucket and a plate structure. The employee died from crushing injuries to his chest.",High,Caught In Between,"blunt force, blunt force trauma, bucket, chest, construction"
"At 1:00 p.m. on August 27, 2024, an employee was working as a construction laborer for a highway construction contractor. The employee was conducting one way flagging operations in support of road barrier system installation. The employee was improperly positioned in roadway resulting in him being struck by an inattentive driver. The employee died from blunt force trauma to his body from impact with the car and against the pavement.",High,Struck By Object,"barrier, blunt force, blunt force trauma, construction, distracted"
"At 10:10 a.m. on August 27, 2024, an employee working as an equipment operator for a structural concrete contractor was walking between a GEAX DTC80 piling rig (drilling equipment) and a dirt wall. A coworker operating the rig struck the employee, crushing him between the equipment and the wall. The employee died from multiple injuries including contusions and lacerations to his chest, torso and hands and asphyxiation.",High,Transportation Incidents,"asphyxiated, asphyxiation, barricade, caught between, chest"
"At 1:00 p.m. on October 21, 2024, an employee working as a truck driver for a building materials supplier was removing dunnage spacers from the trailer of a flat bed truck. The employee was operating a remote-controlled vehicle- mounted boom lift to deliver drywall to a new construction residential site. The employee hoisted a bunk of drywall and positioned the load off the driver's side of the vehicle. As he suspended the load, the employee walked in the narrow space between the load and the truck bed. As he was walking in this area to remove the spacers from atop the load, the boom lift was inadvertently activated and pinned him against the truck bed crushing him. The employee died from a crushed torso, chest and abdomen.",High,Transportation Incidents,"abdomen, boom truck, chest, construction, construction vehicle"
"At 10:00 a.m. on June 26, 2024, an employee was working as a concrete finisher for a poured and structural concrete contractor was working on a crew installing forms for concrete curb work inside of a work zone. A International Harvester Model 1100 truck struck another vehicle after running over the delineator post. The vehicle then entered the work zone and ran over the employee and a coworker. The employee sustained multiple injuries, including to his head abdomen, arms, back, chest, feet, and hands. The employee died as a result of his injuries.",High,Transportation Incidents,"abdomen, arm, back, blunt force, blunt force trauma"
"At 7:30 a.m. on July 24, 2024, an employee working for a paving contractor was walking on site when he was hit by Ford F550 Pickup Truck that was driving in reverse. The pickup truck was not equipped with an audible reverse signal alarm or designated observer or ground guide. The employee died from multiple trauma including fractures, punctures and other injuries to his eyes, head, back and legs.",High,Struck By Object,"alarm, back, back-up alarm, backing up, blunt force"
"At 8:15 p.m. on October 22, 2024, an employee working as a paving foreman for an asphalt contractor walked inside a designated work zone. The employee was beside the passenger-side of a dump truck which was being used to spray paint orange markings on a roadway. These markings were going to be used by a coworker operating a milling machine as a path to follow during milling operations. The employee walked in front of the dump truck while it was moving forward at or near engine idle speed. The employee caught his foot under the dump truck's front right tire causing him to fall to the ground and be crushed by the tire. The employee died from multiple crush injuries.",High,Transportation Incidents,"asphalt, caught by, construction, construction vehicle, crushed"
