Scenario,Risk_Level,Cause_of_Accident,Keywords,Readability_Score
It approximately  an employee was throwing debris into a dumpster. The employee fell about 27 feet to the pavement below. The employee sustained broken bones and was killed.,High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"CRUSHING, FRACTURE, DUMPSTER, FALL",
It  Employee (trainer) of a paper transport company was training Employee (trainee) to drive a semi-trailer in the loading/unloading area. Employee was driving the semi-trailer truck to a designate parking spot in the loading/unloading area. Employee dismounted from the semi-trailer truck and walked behind the vehicle. Employee was backing the truck which struck Employee. Employee immediately contracted 911. Employee was transported by ambulance to the hospital and died from multiple injuries to multiple parts of the body. body.,High,Struck-by caused by Materials Handling Equip./Method,"CRUSHING, STRUCK BY, BACK-UP ALARM, RUN OVER, MOTOR VEHICLE, TRACTOR TRAILER",
"It  Employee was inside a 600,000 bushel, 80' diameter concrete McPherson grain bin using a pole/rod to uncle soybean pads/debris in a sub-floor anger opening (Hutchinson/Mayrath 12"" Commercial Horizontal In Unloaded, Reason electric anger motor - Model #C256t17FB6C) while the anger was running. A lifetime safety rope worn by Employee became entangled in the floor anger causing fatal strangulation injuries from his harness. Employee was working alone inside the bin, while employee #2 was observing from outside the bin manhood side entry. The bin floor had unguarded sum holes to allow the grain to flow into the subfloor anger. The subfloor anger was not de-energies/locked out before Employee entered and unguarded the blades of the subfloor anger. Additional hazards include the 50,000 to 60,000 bushels of soybeans remaining in the bin that were flowing towards the floor openings, poor visibility, and potential atmosphere hazards. Employee died from asphyxia by ligature strangulation from the Mala harnessLifeline rope entangled in the sub-floor anger, which caused extreme pressure against the employee's neck/upper body resulting in asphyxiation by his harness. sulking in asphyxiation by his harness.body resulting in asphyxiation by his harness.",High,Caught in or between caused by Materials Handling Equip./Method,"ASPHYXIATED, MACHINE GUARDING, LOCKOUT/TAGOUT, GRAIN, GRAIN ELEVATOR, FLOOR OPENING, ELEVATOR, AGRICULTURE, STRANGULATED",
"It  a lathe operator was hand abolishing a metal 2-1/4 inch diameter cylinder, approximately 40 inches long on a Doosan Daewoo Yuma 400L CNC lathe with sandpaper. The lathe was running with the door open and the spindle turning at approximately 700 rum. The employee was entangled in the running equipment. The employee was transported to a local hospital and died on  from multiple blunt force injuries. injuries.",High,Caught in or between caused by Catch Point/Puncture Action,"CAUGHT IN, STRUCK BY, ASPHYXIATED, MACHINE GUARDING, LATHE, ENTANGLED",
"It  an employee was working for a firm of electrical contractors and other wiring installation contractors. He was at a non-residential property. He was preparing an area for an above-ceiling inspection. He was found in a halfway next to the room where he had been working. He had come into contact with an electric conductor energies at 277 vols. He received an electric shock, and he was electrocuted. The narrative says that someone was hospitalized, so either this employee did not die at the jobsite, or a second employee was involved. There are three inspection identity numbers associated with this incident; 1133370, 1133269, and 1132635. His narrative was based on the details in inspection identity number 1132635. tails in inspection identity number 1132635.",High,"Shock caused by Misjudgment, Hazardous Situation","CONSTRUCTION, ELECTRICAL, E GI IV, ELECTRICIAN, ELECTROCUTED, ELECTRICAL WORK, ELECTRIC SHOCK, ELECTRIC CONDUCTOR",
"In , a landscaping employee was standing in the street behind a work truck. The truck was struck by another vehicle and then struck the employee. The employee was taken to the hospital and died from blunt trauma to the chest and abdominal injuries. The driver of the vehicle did not see the employee or work truck.",High,Struck-by caused by Insufficient /Lack/Protective Work Clothing/Equipment,"PROTECTIVE CLOTHING, MOTORCYCLE, CRUSHED, STRUCK BY, TRAFFIC CONTROL, AGRICULTURE, CAUGHT BETWEEN",
It approximately  an employee was repairing pavement behind a truck. The truck struck the employee when it was hit by another vehicle. The truck ran over the employee and the employee was killed.,High,"Struck-by caused by Misjudgment, Hazardous Situation","STRUCK BY, MOTOR VEHICLE, RUN OVER, TRUCK",
"It  an employee was moving a wood pallet with boxes on top of a plastic said. The load of boxes became unstable and fell, crushing the employee. The employee's ribs were broken and was asphyxiated. The employee was crushed and killed.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"PALLET, CRUSHED, CAUGHT BETWEEN, ASPHYXIATED",
"It approximately  an employee was working on carpentry fascia work with a nail gun. The employee became entangled in a lifetime and unhooked his harness to remove himself from the tangle. The employee fell approximately 24 feet to ground, struck ground and suffered injuries from impact. The employee was killed.",High,"Fall (from elevation) caused by Misjudgment, Hazardous Situation","FALL, FALL PROTECTION",
"It  Employee, a heating and air conditioning worker, was troubleshooting an inoperative service elevator assisting Employee, a building maintenance technical. Employee noticed a slight gap between elevator doors and requested assistance of Employee. Using a screwdriver, Employee checked for debris around the elevator door sill keeping the doors from closing. Since no obstruction were found, Employee told Employee to remain on the st floor, while Employee went to the and floor to access the top of the elevator car to check for obstruction at the car top. Once on the and floor, Employee used the elevator emergency door key retrieved from the maintenance office to clock the doors and gain access to the top of the elevator car. Employee asked Employee to close the elevator door by pushing the doors together. Shortly thereafter, Employee heard the elevator move upward and saw the th floor indicator light flashing. It about 6:15 of, the building maintenance technical contracted the facility maintenance supervisor and notified the front desk to call 911. It about 6:40 of, the facility maintenance supervisor arrived, contracted a local elevator representative to assist in locating Employee. It around 6:50 of, the elevator representative arrived and found Employee at the bottom of the service elevator shaft. Employee was transported by ambulance to the emergency room. Employee died from intracranial haemorrhage. the emergency room. Employee died from intracranial haemorrhage.",High,Fall (from elevation) caused by Position Inappropriate For Task,"STRUCK AGAINST, FALL PROTECTION, LOCKOUT/TAGOUT, FALL, ELEVATOR, CAUGHT BETWEEN",
It  two employees were pollinating palm trees using an aerial basket. The basket contracted high voltage (12KV) power lines 33 feet high and the employees were electrocuted and killed.,High,Shock caused by Electrical Contact/Exposure,"AERIAL LIFT, ELECTRIC SHOCK, ELECTROCUTED, ELEVATED WORK PLATFORM, AGRICULTURE",
"It  an employee was helping record the construction of a small house trailer inside a warehouse for a television show. There were no witnesses to the event. From time-lapse video forage, the employee was shown standing inside the doorway to the trailer and then backing toward the exit door on the long side of the trailer and falling backward. The employee fell through the doorway approximately 25 inches down a job-made stairway three risers high landing on the concrete floor on his back. Employee's head struck the concrete floor during the fall. The employee sustained a subcrural haematoma, fractures of the femur, right wrist and right shoulder joint. The employee was transported to a nearby hospital then airlifted to another hospital. The job-made stairs had a set of complaint railings. There were no environmental factors present that could have contributed to the occurrence of this event.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"STAIR, CONCRETE, FALL, STRUCK AGAINST",
It  an employee was placing metal sheets when the bottom sheet moved creating an opening through the floor. The employee fell through a floor opening to concrete floor while covering the opening with two metal dealing sheets 3 feet by 18 feet.The employee fell 39 feet 6 inches through the floor opening. Employee landed on his side and then rolled over. The employee was awake and breathing when emergency responded arrived. The employee later died.,High,"Fall (from elevation) caused by Misjudgment, Hazardous Situation","STEEL ERECTION, ROOF, FALL PROTECTION, FALL, CONSTRUCTION, CONCRETE, STRUCK AGAINST",
It  an employee working as a security guard at a restaurant/lounge was struck and killed when breaking up fight.,High,Struck-by caused by Mobile Equipment Operation,"WORKPLACE VIOLENCE, STRUCK BY, SECURITY GUARD, FIGHTING",
"It approximately 2:05 pm on , Employees #1 and #2 were having a road in a residential neighborhood. A 1999 Back dump truck, Model Number 600C was backed up to a paper. Employee was standing next to the paper on the rear left side while holding on to the screwed handle of the paper. Employee was adjusting the amount of shalt coming out of the paper. Employee walked to the rear of the screwed to dip his shovel into the solution. The dump truck and paper were directly beneath a 13,800V overhead power line. The dump truck bed contracted the overhead power line when it was raised to dump shalt in the paper. Employee was electrocuted and employee #2 was shocked. Employee felt numbness on the left side for approximately 10 minutes.",High,Struck-by caused by Mobile Equipment Operation,"ROAD PAVING, ELECTROCUTED, OVERHEAD POWER LINE, ELECTRIC SHOCK, ASPHALT",
"It  an employee was walking in the break down lane of a road behind a bucket truck with a cable feel when the truck over took the employee, striking the employee in the back and head, knocking the employee to the ground, and running over the employee. The employee was killed.",High,Struck-by caused by Materials Handling Equip./Method,"STRUCK BY, BACK-UP ALARM, FLAGGER, RUN OVER, POWER LINES, MOTOR VEHICLE, MATERIAL HANDLING",
"It approximately  an employee was walking North on the Route 7 south break down lane. Is the employee was walking, a Bucket Truck backed into and over the employee. The employee received injuries to his back and head. The employee was killed.",High,Struck-by caused by Materials Handling Equip./Method,"STRUCK BY, BACK-UP ALARM, TRUCK, MOTOR VEHICLE, MATERIAL HANDLING, FLAGGER",
It  an employee was operating a jackhammer shipping at the fireplace hearth. The employee was crushed and killed when the 17 feet high facade fell onto the employee.,High,Heat exposure caused by Environmental Condition,"CAUGHT BETWEEN, CRUSHED, FALLING OBJECT, JACKHAMMER, CONSTRUCTION",
"It  an employee attempting to cover an secured diamond steel floor plate with another metal plate, stepped onto the secured diamond plate and fell through. The secured diamond steel floor plate struck the employee fracturing the th through with ribs and causing the fractured rib segments to impinges the splenic fossa. The employee was struck and killed by the steel plate.",High,Struck-by caused by Work-Surface/Facility-Layout Condition,"STRUCK BY, FALL PROTECTION, FRACTURE, FLOOR OPENING, FALL, FALLING OBJECT",
"It  an employee working in an extended aerial lift basket was removing a piece of metal trim on an outdoor sign. While prying it loose, the metal trim touched the adjacent top power transmission line shocking the employee. The employee fell through the rails of the aerial lift basket. All protection was not being used. The employee was killed.",High,Fall (from elevation) caused by Overhead Moving/Falling Object Action,"SHOCK, AERIAL LIFT, ELECTRICAL, POWER LINES, FALL PROTECTION, FALL",
"It  a roofed fell approximately 15 feet through a hole on the roof to the concrete floor of the building. Other employees called emergency personnel. The employee was killed due to head, neck and back injuries.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"STRUCK AGAINST, NECK, ROOF, HEAD, BACK, FALL, FALL PROTECTION",
"It approximately  an employee and workers were in the process of taking a 90-ft ""Popular"" Free down with an excavation. While the tree was being taken down, all workers were standing behind the excavation. The tree was to come down to the right of the excavation. The employee crossed the bridge and was standing to the left of the excavation when the tree started to come down towards him and one of the upper branches struck him in the back of the head. The employee sustained a fractured skull and was killed.",High,Workplace incident caused by Hazardous Work Condition,"STRUCK BY, TREE, TREE FELLING, FALLING OBJECT, EXCAVATOR",
"It  an employee was making repairs to the U-joints on the rear able of an over-the-road truck. The employee was using an air-driven impact french to make repairs while on a deeper under the rear able of the truck. The truck, elevated on jacks, topped over, the wooden blocks holding the passenger side rear wheels shifted and fell to the floor. The rear able of the truck fell, crushing the employee's chest. The employee was killed by asphyxiation.",High,Struck-by caused by Catch Point/Puncture Action,"CRUSHING, MECHANIC, JACK, FALLING OBJECT, ASPHYXIATED, TRUCK, BLOCKS, CHEST, CAUGHT BETWEEN, STRUCK BY",
It approximately  Employee left a meeting with Employee and excited the building. Employee retrieved a forearm from his vehicle in the employer's parking lot and returned to the building. Employee shot Employee and then Employee shot himself. Both employees were killed.,High,Struck-by caused by Flying Object Action,"WORKPLACE VIOLENCE, SUICIDE, GUNSHOT",
It approximately  an employee stepped out onto a plank extended into an elevator shaft to perform drywall operations. The employee fell 27 feet to the concrete floor below and was killed.,High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"FALL, ELEVATOR SHAFT",
It approximately  Employee was preparing his assigned company truck located at the employer site to take his crew out to do irrigation work. Employee grabbed some trash from the truck and went to the garage can. A disgruntled worker shot Employee in his lower back with a hand gun. The worker then started hitting Employee with the gun and followed him towards the tool shed where Employee collapsed face down. The worker fired a second shot towards Employee but missed. Employee was killed by the gun shot wound.,High,Burn caused by Temperature +/- Tolerance Lev.,"WORKPLACE VIOLENCE, GUNSHOT, STRUCK BY",
"It approximately  Employee was changing out a hydraulic line on a front end leader. The bucket arm fell and crushed Employee, killing him.",High,"Caught in or between caused by Misjudgment, Hazardous Situation","STRUCK BY, FRONT END LOADER, MAINTENANCE, FALLING OBJECT, CRUSHED",
"It approximately  an employee was installing a platform at a grain elevator. Apparently, the employee was transitioning from one location to another and had unhooked his fall protection, six foot petitioning innyard on his DBI SALA harness to transition. The employee fell approximately 30 feet to the ground and was killed.",High,Fall (from elevation) caused by Position Inappropriate For Task,"PLATFORM, FALL PROTECTION, GRAIN ELEVATOR, FALL",
"It approximately  an employee was standing between a brick wall and cement mixing drum. A worker pulled a front end leader up to the drum to lift and remove the drum from the area. The operator stabbed the drum with the fork attachment of the front end leader, pressing the drum against the brick wall, pinning the employee between the two. The employee was caught in-between a brick wall and cement mixing drum that was being lifted by a front end leader and was killed.",High,Caught in or between caused by Materials Handling Equip./Method,"PINNED, FRONT END LOADER, CAUGHT BETWEEN, CRUSHED",
It approximately  Employee climbed a 40 foot extension ladder to place a fluorescent light bulb in a fixture approximately 18.7 feet high. He was at a height on the ladder that would allow him to reach the fixture. Employee was attempting to place the light bulb in the fixture and was having trouble seating it and was trying to force it in. The ladder moved in the opposite direction he was leaning and he fell face-up on the concrete floor. Employee received a head injury which required surgery and he died three days later.,High,Fall (from elevation) caused by Materials Handling Equip./Method,"FALL, HEAD, LADDER",
"It approximately  an employee and workers were laying storm drain pipes along the south bound lane of Highway 220 in Summerfield. The workers were in a trench, with the excavation operator in the At 330CL excavation. The employee excited the trench for unknown reasons and was standing by a trench roller when the excavation piloted and struck the employee against the roller. It was unclear at that time whether the employee was struck by the bucket or the superstructure of the excavation. The employee was killed.",High,Struck-by caused by Mobile Equipment Operation,"TRENCH, STRUCK BY, EXCAVATOR",
"It approximately  Employee, a dump truck driver, was dumping a load and his truck became stuck. He excited his truck without notifying anyone to attempt to free it. Another truck was directed by the spotted to pull in next to Employees truck and dump his load. Is the driver of the truck backed up, he pulled in at an angle directed towards Employees truck and struck Employee. Employee was killed by multiple injuries with compression asphyxia, multiple fractures of his ribs, laceration of the spleen, abrasion on his arm, and contusions and laceration of both lungs.",High,Struck-by caused by Materials Handling Equip./Method,"STRUCK BY, GARBAGE TRUCK, RUN OVER, ASPHYXIATED",
"It approximately  Employees #1 and #2 were on the ground level of the north side of a three story apartment building number 1. Both employees were getting ready to set a 41-ft 8-in. long aluminium scaffold pole up right for a scaffold set up. A worker was on the roof area of building number 1 with a rope to pull the scaffold pole up right. The pole was mostly upright, when a strong breeze blew the scaffold pole towards a 13,800 vol single phase power line. Employee and Employee were holding scaffold pole when it made contact with the power line. Employee died on site. Employee received third degree burns and was transported to a burn center. Primary phase of power line above the ground level was 38-ft high. The distance from scaffold pole, when it was upright, to primary phase was 28-ft. The average of power line with no load was 0. The fault average current when scaffold pole made contact with power line was 2,558 camps. The neutral line was 31-ft 5-in. above ground level.",High,"Shock caused by Weather, Earthquake, Etc.","BURN, ELECTRIC SHOCK, ELECTROCUTED, POWER LINES, SCAFFOLD",
It approximately  Employee was transferring a inflammable liquid from a 55 gallon drum to a 1 gallon container when the container exploded. The building caught on fire and Employee was killed from thermal burns and inhalation of smoke.,High,Burn caused by Temperature +/- Tolerance Lev.,"CHEMICAL VAPOR, FIRE, EXPLOSION",
It approximately  Employee was shot and killed by a worker with a 22 calibre gun.,High,Burn caused by Temperature +/- Tolerance Lev.,GUNSHOT,
"It approximately  Employee, a stick man, and a worker, manager and fork lift driver, were unloading a 9.5 foot high by 9.2 foot wide by 40 foot long container trailer, identification number MRKU 2569108, at an import warehouse storage facility. The trailer contained 32 steel banded bundles of birch plood, each containing 22 sheets measuring 4 foot by 8 foot and weighing approximately 2,000 pounds. Of a bundle was on its edge, the worker would use the forks of the lift to judge the bundle over onto its flat side. The forks would then go under the bundle about 1 foot and raise it up approximately 18 to 20 inches. Employee then placed a 10 foot long by 4 inch by 4 inch piece of wood on the edge of the bundle and step out of the container to a safe location. The worker would lower the forks and lift the bundle while backing out of the container. When the worker went to unload a bundle, Employee went into the container to retrieve the piece of wood in preparation for the next bundle. The worker was putting the bundle down and heard a loud noise and saw Employee under the bundle. Employee was killed.",High,Strain caused by Materials Handling Procedure,"PINNED, TRAILER, CRUSHED, INDUSTRIAL TRUCK, STRUCK BY",
"In , Employee was working on a casting press machine. He pulled a die block out and was reaching into the press to remove the die stop. A bolt securing a safety strap shared off and the die fell. Employee was struck by the die crushing his head and upper tarso, killing him. him.",High,Caught in or between caused by Overhead Moving/Falling Object Action,"PINNED, TORSO, CRUSHED, HEAD, EQUIPMENT FAILURE, CAUGHT BETWEEN, STRUCK BY, PRESS",
"It approximately  a foreman and two construction workers were removing and pulling out a 40-ft to 45-ft long wooden telephone pole by using a ALTEC Bigger Berwick (Aerial Number 37-67770) mounted truck on an International truck trailer (Model Number 4700-DTE) facing Last and marked on its outriggers. A tow trailer pole carrier was hitched or hooked with the truck at the rear. The single Last bound lane was partially encroached that was open to reticular traffic. The employee had just made an adjustment of metal stakes on the poles carrier tow trailer per instructions of the foreman, who was sitting in the Bigger Berwick operating seat. After the employee walked on the rear left side of the Bigger Berwick truck, he was struck by a Chevrolet, Model Number of 2500, Silverado picked truck traveling east. Upon impact, the employee's body was thrown up on the rear-left side of the Bigger Berwick truck and the employee was killed.",High,Struck-by caused by Work-Surface/Facility-Layout Condition,"CRUSHING, MOTOR VEHICLE, STRUCK BY, AUTOMOBILE, CONSTRUCTION",
It approximately  Employee was off work at a work site drinking beer. He threw his phone away and it landed on a roof. He went to retrieve his phone and fell through a skylight while under the influence of alcohol. Employee died from a head injury.,High,Fall (from elevation) caused by Roof Work Hazard,"SKYLIGHT, ROOF, FALL, ALCOHOL",
"It approximately  an employee was unlocking a load by removing the sling from the wood piling. Is the employee released the sling from the load, the hook swung a few feet and struck his hard hat. The employee received head injuries and was killed.",High,Struck-by caused by Overhead Moving/Falling Object Action,"STRUCK BY, HEAD, SLING",
It approximately  Employee was cleaning up a pipe around a fewer clean out hole. He fell 50 feet into the hole and died. and died.,High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"PAPER, HEAD, PIPE, FALL",
"It approximately  Employee was using a peasant control to move and store a die, weighing 12 tons. He was killed when crushed between two dies.",High,Struck against caused by Overhead Moving/Falling Object Action,"PINNED, CRANE, DIE, CAUGHT BETWEEN, CRUSHING, STRUCK BY",
"It approximately  Employee, a police officer, was responding to a call for a medical emergency driving his vehicle. He observed the vehicle needing assistance heading in the opposite direction. He pulled over and started to make a U-turn and was struck in the drivers door by an ambulance. Employee received multiple blunt force trauma injuries and died.",High,"Struck-by caused by Misjudgment, Hazardous Situation","STRUCK BY, EMERGENCY RESPONSE, MOTOR VEHICLE",
"It approximately  an employee was sweeping saw dust that had accumulated between two Thermwood CNC routine machines. The employee tripped on the conduct that runs from the Number 3 outer control station to the routine machine. The trip resulted in the employee falling down and hitting his head on the back corner of the routine machine table, and ultimately succumbing to the injuries.",High,Fall (same level) caused by Work-Surface/Facility-Layout Condition,"TRIPPED, FALL, HEAD, CLEANING",
It approximately  Employee was delivering records at a fire hall and died of a heart attack.,High,Heat exposure caused by Environmental Condition,"HEART ATTACK, HEART",
It approximately  Employee was chemically washing a 20 foot roof. He walked to the rear of the roof and fell to the ground and was killed from multiple blunt force injuries.,High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"ROOFER, ROOF, CHEMICAL, FALL",
"It approximately  Employee was operating a riding power when it fell over a bank. The bank caved in and wrapped him underneath water, and Employee drowned.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"CAUGHT IN, ROLL-OVER, STRUCK BY, WATER, CAVE-IN, LAWN MOWER, DROWN, CRUSHING",
"It approximately  an employee was assigned to erect metal framing study. The employee was on an adjustable work platform, tell-tower model 1101, and fell approximately 8 feet 5 inches. According to witnesses, the employee may have fainted. When three witnesses heard a drill fall, they looked and the employee tilted over and went down. The employee did not make an effort to grab or hold on to anything as he fell. According to the coroner's topsy report, employee received head trauma but it was not lethal. The employee died of natural causes.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"WORK PLATFORM, FALL",
"It  an employee was working for a firm of painting and wall covering contractors. He was painting cabinet in a garage and he was found responsive on the ground by the homeowner. He was taken to the hospital, where he died. The medical examiner determined that he had been electrocuted.",High,Workplace incident caused by Hazardous Work Condition,"PAINTER, ELECTRIC SHOCK, ELECTROCUTED, ELEC CIRC PART--MISC, CONSTRUCTION, ELECTRICAL, E GI VII",
It approximately  Employee stepped down from a loading dock into an approximate 2 foot square area between a semi-trailer and the dock to show the company owner the damage and repairs made on the back of a semi-trailer. A co-worker backed up the truck and Employee was pinned between the truck and the dock. The employee was killed from their injury. from their injury.,High,Caught in or between caused by Pinch Point Action,"CRUSHING, STRUCK BY, CAUGHT BETWEEN, MOTOR VEHICLE",
"It approximately  an employee operating a boom truck was pulling anger horizontally; from the east toward the west from under a highway. The boom separated at its rotation point and struck the employee, pinning him between the truck and boom. The employee was killed. no him between the truck and boom. The employee was killed.",High,Caught in or between caused by Overhead Moving/Falling Object Action,"PINNED, ROTATING PARTS, BOOM, CRUSHED, BOOM TRUCK, STRUCK BY",
It approximately  an employee was unvarying the traitor trailer. Someone driving another vehicle backed into the employee pinning him between both vehicles. A worker called emergency medical services and they arrived and the employee was declared deceased on scene.,High,Caught in or between caused by Pinch Point Action,"PINNED, TRACTOR TRAILER, CAUGHT BETWEEN",
"It approximately  Employee, an assistant manager, was helping a customer back a truck and trailer into a bay. The truck accelerated and pinned Employee between the truck and wall, killing him.",High,Struck-by caused by Mobile Equipment Operation,"TRAILER, CRUSHED, HEAD, MOTOR VEHICLE, CAUGHT BETWEEN",
It approximately  Employee and Employee were removing bolts from a pump preparing it for removal. They donned airline respiratory which were attached to a cylinder cascade system via a spider manifold and regulatory to conduct the next task. The cylinder cascade system to which the mass were attached was arson and not grade D breathing air and both employees went down due to asphyxiation. Employee died and Employee was hospitalized with traumatic brain injury.,High,Inhalation caused by Chemical Action/Reaction Expos,"RESPIRATOR, ASPHYXIATED, AIR LINE, ARGON, INHALATION, BRAIN, AIR LINE RESPIRATOR, AIR CONTAMINATION, RESPIRATORY",
It approximately  Employee and Employee were removing bolts from a pump preparing it for removal. They donned airline respiratory which were attached to a cylinder cascade system via a spider manifold and regulatory to conduct the next task. The cylinder cascade system to which the mass were attached was arson and not grade D breathing air and both employees went down due to asphyxiation. Employee died and Employee was hospitalized with traumatic brain injury.,High,Inhalation caused by Materials Handling Equip./Method,"OXYGEN DEFICIENCY, AIR CONTAMINATION, ARGON, CYLINDER, AIR LINE RESPIRATOR, ASPHYXIATED, RESPIRATOR, RESPIRATORY",
It approximately  an employee was unlocking a water those from the filling machine. The Employee was crushed between water truck and filling machine when the water truck moved forward and the employee was killed.,High,Caught in or between caused by Materials Handling Equip./Method,"STRUCK BY, MILLING MACHINE, TRUCK, CAUGHT BETWEEN, CRUSHED, CONSTRUCTION VEHICLE",
"It approximately  an employee was repairing a residential fence while standing on slope ground. The employee fell from height, struck his head on hard surface resulting in multiple skull fractures and the employee was killed.",High,"Fall (from elevation) caused by Weather, Earthquake, Etc.","SKULL, STRUCK AGAINST, FRACTURE, LOST BALANCE, FALL",
"In , Employee was inspecting his lowered industrial truck next to a rack. A bail of recycle newspaper, measuring 4 foot by 4 foot and weighing 1,500 to 2,000 pounds fell from the rack, striking and killing Employee.",High,Struck-by caused by Overhead Moving/Falling Object Action,"STRUCK BY, FALLING OBJECT, INDUSTRIAL TRUCK, NECK, HEAD, CRUSHED",
"It approximately  an employee was operating a bulldozer to level a ground surface. The employee fell off bulldozer, and was struck by the bulldozer. The bulldozer kept on going and the employee died of internal injuries.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"STRUCK BY, CONSTRUCTION VEHICLE, POWERED INDUSTRIAL VEHICLE, FALL",
"It approximately  Employee, a cell phone store clerk, was handing out flies when he was allegedly stabbed by a worker and died.",High,Workplace incident caused by Hazardous Work Condition,"WORKPLACE VIOLENCE, KNIFE, STABBING BOARD",
It approximately  Employee was racking turned limbs in a pear orchard when he suffered cardiac and or a respiratory failure and died.,High,Inhalation caused by Chemical Action/Reaction Expos,"TREE PRUNER, HEART, HEART ATTACK",
It approximately  an employee and workers were in the trench attempting to locate and clean sections. The trench wall on west side under the street collapsed into trench 11-ft. deep excavation. The employee was killed due to asphyxiation. A back he was running near the excavation at the time of collapse.,High,"Caught in or between caused by Misjudgment, Hazardous Situation","TRENCH, EXCAVATION, COLLAPSE, ASPHYXIATED, BACKHOE",
It  an employee collapsed from a heart attack while working in a permit-required confined space. Atmospheric monitoring showed no signs of oxygen deficient atmosphere. The employee died.,High,Card-vascular/resp. fail. caused by Medical Emergency,"CONFINED SPACE, HEART ATTACK",
"It  an employee wearing a petitioning saddle fall arrest system, was ascending a rope that was placed in the crutch of a tree. The employee was approximately 40 foot above ground. The employee was ascending when the fall harness petitioning saddle rope bridge broke. The employee fell approximately 20 feet and struck the edge of the house roof and then fell another approximately 20 feet to a wood deck, landing on the back. The employee sustained head trauma and was killed.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"TREE TRIMMING, ROOF, RIGGING, STRUCK AGAINST, BROKEN CABLE, FALL",
It  an employee was framing a two-story roof and fell to the ground. The employee sustained blunt force trauma to the head and he was killed.,High,"Fall (from elevation) caused by Weather, Earthquake, Etc.","STRUCK AGAINST, FALL PROTECTION, HEAD, ROOF, FALL",
"It approximately  Employee, a forklift operator, approached a roller conveyed in preparation to load a finished sand mold onto a plate which was stage on the lift's forks. Employee elevated the metal plate level with the end of the conveyed then dismounted the forklift. With the help of Employee, a mold assembled, both employees began to mentally push a 250 pound mold from the roller conveyed onto the plate located on the forks of the forklift. The forklift's forks were not between the two I-beams attached to the undermine of the plate and when the mold began to shift weight to the plate, the plate and mold both began to fall from the forklift and conveyed. The mold fell onto the right arm of Employee, pinning the employee's arm between the mold and the plate. Employee sustained fractures to three different areas of the lower arm. Employee was not injured.",Medium,Struck against caused by Materials Handling Equip./Method,"CRUSHING, POWERED INDUSTRIAL VEHICLE, MATERIAL HANDLING",
"It  employee #1 was working for a trading subcontractor, doing site work at a new construction site. Employee was evaluation ground conditions and walked approximately 12 feet away from a John Were 672G motor grade. The motor grade operator was driving in reverse when employee #1 was struck and run over by the motor grade. Employee was killed. He had been wearing a safety vest. The motor grade was provided with a back-up alarm. There was communication between employee #1 and the motor grade operator (eye contact). Training was provided to both the employee and the motor grade operator. It is not clear why employee #1, who was walking parallel and alongside the motor grade, decided to change paths. There were no eye-witnesses to the event.",High,"Struck-by caused by Misjudgment, Hazardous Situation","STRUCK BY, WHEEL, CRUSHED, RUN OVER, GRADER, BACKING UP, ALARM",
"It  employees on the second level of a drilling platform (120 feet) were lifting a 40-45 foot steel cable that was 1 1/4 inches thick, onto the second level. the employees had coiled the cable and removed the slack in order to raise the cable to the third level. The other employees were crossing over the cable when it gave way over the rail, striking employee #1. Employee fell 120 feet, striking the base of the platform. He was killed in the fall.",High,Fall (from elevation) caused by Flying Object Action,"PLATFORM, GUARDRAIL, STRUCK BY, DRILL, FALL",
It  an employee was pulling dry-in paper on a roof. The employee fell off the end of the roof. He was wearing a personal fall arrest system and was tied-off. For an unknown reason he disengaged during the fall and was killed. The fall arrest equipment was examined and was operating as designed.,High,Fall (from elevation) caused by Roof Work Hazard,"FALL, LANYARD, RESIDENTIAL CONSTRUCTION, ROOF, FALL PROTECTION",
"It  an employee using fall protection but not tied off, was getting a box of nails from a 20 foot high roof. He fell from the roof. The employee sustained head and internal injuries and was found on the ground. The employee was killed. There were no witnesses to the incident.",High,Fall (from elevation) caused by Safety Devices Removed/Inoperable,"FALL, FALL PROTECTION, HEAD, ROOF",
"It  an employee working on a ""Moffett"" forklift was struck by a semi-traitor trailer and killed.",High,Struck-by caused by Mobile Equipment Operation,"STRUCK BY, VEHICLE, TRAILER TRUCK, TRUCK",
It  an employee working from an elevated position of 10 to 12 feet fell and struck the right side of his head. The employee suffered a severe head injury and was transported to a hospital where he received surgery. The employee died  from complications of the head injury and a heart condition.,High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"FALL, FALL PROTECTION, HEAD, HEART",
