Obs,TYPE,RECORDID,STATE,AGE,GENDER,RACE,FB,OCCUP,NOI,POB,SOI,EOE,ACTIVITY,LOCATION,INDUSTRY,ES,TEIB,SIZE,TotTime,NOWOIS,NOWIIE,OWNER,WSE,EWAOH,SI,WSP,PJT,AFS,Training,INJURY_DATE,INJURY_MONTH,INJURY_YEAR,Fall_Feet,PFAS_Rec,Region,fall,R11,R12,R13,R14,R15,R16,R19,R21,R22,R23,R24,R25,R29,R31,R32,R33,R34,R35,R39,R41,R42,R43,R44,R45,R46,R47,R48,R49,R51,R52,R59,R999,PPE,PFASR,Equipment,Organizational,Violations,Occupation_Mapped,Nature of Injury_Mapped,Part of Body_Mapped,Source of Injury_Mapped,Work Activity_Mapped,Industry Type_Mapped
589,I,2001-04,FL,15,1,1,1,869,86,8,6221,1153,321,46,3272,1,20.00,22,1.00,2,0,6,2,3,2,3,2,2,1,17,1,2001,24,1,South,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,Manager,Poisoning,Multiple Parts,Gas,Supervision,Logistics
590,I,2001-07,AL,14,1,7,3,869,60,10,6221,1153,313,77,1761,1,3.00,8,1.00,8,0,6,2,3,3,2,2,2,1,3,2,2001,12,1,South,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,Manager,Amputation,Neck,Gas,Data Entry,Education
591,I,2001-10,IN,17,1,7,3,869,60,10,8259,431,330,64,1611,1,.50,3,152.50,3,0,6,2,2,3,2,2,2,1,16,4,2001,.,.,Midwest,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Manager,Amputation,Neck,Other Building,Other Office,Manufacturing
592,S,2001AK008,AK,41,1,7,3,516,60,10,3211,239,324,47,1794,1,30.00,53,30.50,3,0,6,3,3,1,1,1,2,1,6,5,2001,.,.,West,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,Engineer,Amputation,Neck,Power Tool,Training,Legal
593,S,2001AK015,AK,23,1,7,3,855,94,8,3221,32,199,14,1522,1,20.00,117,30.50,7,0,6,3,3,3,1,2,2,1,17,6,2001,.,.,West,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,Therapist,Other,Multiple Parts,Hammer,Other Construction,Demolition
594,S,2001AK018,AK,18,1,7,3,599,93,5,4415,313,114,31,1611,1,30.00,200,61.00,.,0,6,3,1,3,1,3,2,1,14,8,2001,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Records Clerk,Seizure,Toe,Vehicle,Excavation,Manufacturing
595,S,2001AK027,AK,14,1,7,3,869,94,8,4133,32,634,14,1522,3,16.00,10,548.25,3,0,6,3,3,2,1,1,2,1,30,9,2001,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,Manager,Other,Multiple Parts,Escalator,Other Food,Demolition
596,S,2001CA002,CA,69,1,7,3,859,60,10,3221,4233,215,47,1794,1,30.00,12,183.00,4,0,6,2,3,3,2,1,2,1,1,2,2001,.,.,West,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,Social Worker,Amputation,Neck,Hammer,Packaging,Legal
597,S,2001CA006,CA,45,1,7,3,849,60,10,3437,21,540,47,1796,1,55.00,700,365.25,8,1,6,3,1,1,1,1,3,2,16,5,2001,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,Dentist,Amputation,Neck,Barrel,Pharmacy,Other Services
598,S,2001CA008,CA,32,1,7,3,63,80,8,3252,433,330,65,1542,1,30.00,1500,9.00,25,0,6,1,3,3,1,1,3,1,25,5,2001,.,.,West,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Painter,Concussion,Multiple Parts,Panel,Other Office,Roofing
599,S,2001CA013,CA,24,1,7,3,567,80,8,3211,230,330,47,1542,1,30.00,18,183.00,5,2,6,3,2,3,1,1,3,1,27,12,2001,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,Molder,Concussion,Multiple Parts,Power Tool,Other Office,Roofing
600,S,2001IA020,IA,52,1,7,3,579,94,220,821,432,321,64,1771,1,145.00,52,2922.00,3,0,3,1,3,3,1,3,3,2,.,6,2001,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Forklift Operator,Other,Torso,Coworker,Supervision,Public Administration
601,S,2001IA042,IA,25,1,7,3,853,94,220,3229,4233,216,29,1794,2,.15,1,44.50,1,0,6,3,3,3,2,2,2,2,.,.,2001,.,.,Midwest,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Pharmacist,Other,Torso,Other Hand Tool,Shipping,Legal
602,S,2001KY046,KY,62,1,7,3,563,80,8,4139,116,633,47,1741,1,23.00,76,1461.00,6,0,6,2,3,1,1,1,2,1,21,9,2001,55,1,South,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Assembler,Concussion,Multiple Parts,Other Structure,Cleaning,Accommodation
603,S,2001MA039,MA,66,1,7,3,418,86,8,8252,431,150,65,9221,1,.,36,5844.00,.,0,3,1,3,3,3,2,3,1,2,11,2001,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Welder,Poisoning,Multiple Parts,Wall,HVAC,Police
604,S,2001NE026,NE,16,1,7,3,486,94,8,3223,4233,114,64,782,1,.17,5,44.50,1,0,6,3,3,3,2,2,2,1,17,7,2001,.,.,Midwest,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,Crane Operator,Other,Multiple Parts,Wrench,Excavation,Forestry
605,S,2001NE038,NE,71,1,7,3,869,94,240,8510,32,323,47,1771,1,25.00,3,2922.00,4,0,6,3,3,3,2,2,2,1,8,11,2001,.,.,Midwest,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Other,Chest,Customer,Planning,Public Administration
606,S,2001OK076,OK,13,1,3,1,869,94,24,6462,116,.,14,1741,1,.,.,.,3,0,6,3,1,3,2,2,2,1,14,11,2001,5,0,South,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,Manager,Other,Spine,Coworker,Unknown,Accommodation
607,I,2002-03,NC,54,1,7,3,869,86,8,3252,432,632,65,1611,1,7.00,65,183.00,9,0,6,2,3,3,1,2,3,1,4,12,2001,.,.,South,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,2,Manager,Poisoning,Multiple Parts,Panel,Serving,Manufacturing
608,I,2002-08,TN,21,1,3,1,804,971,10,8252,31,322,47,1794,1,15.00,75,91.50,12,0,6,3,3,3,2,1,2,1,24,6,2002,.,.,South,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Nurse,Unknown,Neck,Wall,Management,Legal
609,I,2002-11,NC,45,1,3,1,869,94,220,118,21,216,14,1741,1,.,20,14.00,9,0,6,3,3,3,2,2,2,1,22,8,2002,.,.,South,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Manager,Other,Torso,Crane,Shipping,Accommodation
610,S,2002CA001,CA,46,1,7,3,843,60,10,8252,4233,113,32,1799,1,30.00,190,91.50,.,0,6,1,1,3,1,1,3,1,22,1,2002,.,.,West,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Doctor,Amputation,Neck,Wall,Demolition,Miscellaneous
611,S,2002CA002,CA,40,1,7,3,869,86,8,3212,433,599,14,1521,1,24.00,35,2191.50,10,0,6,1,3,3,1,1,3,1,12,2,2002,.,.,West,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Manager,Poisoning,Multiple Parts,Saw,Other Public Safety,Construction
612,S,2002CA003,CA,31,1,7,3,869,86,8,821,431,636,62,1611,1,.,.,91.50,.,0,6,1,3,3,1,1,3,1,27,2,2002,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Manager,Poisoning,Multiple Parts,Coworker,Performance,Manufacturing
613,S,2002CA006,CA,37,1,7,3,804,80,8,3211,432,124,65,1611,1,25.00,70,7305.00,6,0,6,3,1,3,1,1,3,1,9,8,2002,.,.,West,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Nurse,Concussion,Multiple Parts,Power Tool,Roofing,Manufacturing
614,S,2002CA010,CA,19,1,7,3,869,60,10,3223,433,150,47,1623,1,25.00,17,730.50,7,0,6,1,3,3,2,2,2,1,4,11,2002,.,.,West,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,Manager,Amputation,Neck,Wrench,HVAC,Packaging
615,S,2002IA003,IA,39,1,7,3,567,86,8,4113,21,633,47,1542,1,30.00,135,3652.50,14,0,6,3,3,3,1,1,3,1,.,2,2002,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Molder,Poisoning,Multiple Parts,Window,Cleaning,Roofing
616,S,2002IA057,IA,31,1,7,3,869,94,8,3229,433,323,14,1771,3,12.00,5,4017.75,5,0,6,3,3,3,2,3,2,1,.,.,2002,.,.,Midwest,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Manager,Other,Multiple Parts,Other Hand Tool,Planning,Public Administration
617,S,2002KY106,KY,21,1,7,3,869,60,10,3211,29,244,65,1611,1,29.00,545,274.50,7,0,6,1,3,3,1,1,1,1,22,11,2002,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,Manager,Amputation,Neck,Power Tool,Waste Disposal,Manufacturing
618,S,2002KY108,KY,30,1,3,3,869,94,8,6271,41,592,10,1623,1,.,4,1095.75,4,1,6,2,3,3,3,2,2,1,3,12,2002,.,.,South,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Other,Multiple Parts,Radiation,Security,Packaging
619,S,2002KY127,KY,41,1,7,3,598,60,10,3241,229,215,14,1623,1,39.00,9,365.25,4,0,3,3,3,3,3,1,3,1,23,10,2002,.,.,South,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,File Clerk,Amputation,Neck,Pipe,Packaging,Packaging
620,S,2002MA030,MA,30,1,3,1,595,60,10,624,1154,633,10,1761,1,30.00,27,14.00,4,0,6,2,1,3,2,2,2,1,10,10,2002,30,1,Northeast,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,Administrative Assistant,Amputation,Neck,Liquid,Cleaning,Education
621,S,2002MA042,MA,41,1,3,1,869,60,10,634,113,231,14,1711,1,17.00,11,1.00,2,0,6,2,3,3,3,2,2,1,19,12,2002,20,0,Northeast,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,Manager,Amputation,Neck,Noise,Maintenance,Retail
622,S,2002NE013,NE,29,1,7,3,599,60,13,4411,21,312,49,1623,1,1.00,.,730.50,5,0,6,1,3,1,1,1,3,1,22,4,2002,.,.,Midwest,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,Records Clerk,Amputation,Arm,Machine,Clerical,Packaging
623,S,2002NE028,NE,72,1,7,3,804,84,8,4112,21,216,10,3273,1,20.00,8,6209.25,2,0,6,3,3,3,1,1,3,1,7,5,2002,.,.,Midwest,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Nurse,Asphyxia,Multiple Parts,Ceiling,Shipping,Delivery
624,S,2002NY027,NY,34,1,7,3,804,60,10,4133,21,540,43,2435,1,15.00,45,1826.25,2,0,6,2,3,3,1,1,3,1,20,5,2002,.,.,Northeast,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,Nurse,Amputation,Neck,Escalator,Pharmacy,Oil & Gas
625,S,2002WA019,WA,43,1,7,3,869,89,8,626,116,520,10,1761,1,15.00,7,1.00,7,0,6,2,3,3,2,2,2,1,.,4,2002,9,1,West,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,Manager,Shock,Multiple Parts,Steam,Surgery,Education
626,S,2002WA034,WA,49,1,7,3,558,84,8,8253,431,620,65,4939,1,14.00,180,.,3,1,6,3,2,3,3,1,1,1,10,6,2002,.,.,West,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Landscaper,Asphyxia,Multiple Parts,Ceiling,Food Service,Consulting
627,I,2003-01,VA,42,1,7,3,869,94,220,3466,39,211,47,1542,1,20.00,.,365.25,1,0,6,3,3,3,3,2,3,1,11,8,2002,.,.,South,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Manager,Other,Torso,Cabinet,Manufacturing,Roofing
628,I,2003-05,NC,23,1,3,1,869,94,220,623,119,349,14,1741,1,17.00,49,61.00,.,2,6,2,3,3,2,1,2,1,26,8,2002,10,1,South,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,Manager,Other,Torso,Gas,Other Transport,Accommodation
629,I,2003-0701,SC,15,1,3,1,869,68,13,6271,41,632,47,1731,1,10.00,65,1.00,.,0,6,3,3,3,2,2,2,1,28,1,2003,.,.,South,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,Manager,Internal Injury,Arm,Radiation,Serving,Food Service
630,I,2003-0702,SC,16,1,3,1,869,68,13,6271,41,632,47,1731,1,10.00,65,1.00,.,0,6,3,3,3,2,2,2,1,28,1,2003,.,.,South,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,Manager,Internal Injury,Arm,Radiation,Serving,Food Service
631,I,2003-12,SC,23,1,3,1,585,80,8,3219,23,632,65,1611,1,30.00,95,152.50,5,0,6,3,3,3,1,2,2,1,29,5,2003,.,.,South,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Stock Clerk,Concussion,Multiple Parts,Other Tool,Serving,Manufacturing
632,I,2003-13,SC,18,1,7,3,869,91,10,3291,31,344,14,1741,1,20.00,7,122.00,3,0,6,3,1,3,2,1,2,1,15,5,2003,.,.,South,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Heart Attack,Neck,Debris,Loading,Accommodation
633,S,2003KY030,KY,48,1,7,3,869,80,8,8254,432,632,65,1611,1,65.00,225,.,3,1,6,3,3,3,3,1,3,2,16,4,2003,.,.,South,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Manager,Concussion,Multiple Parts,Floor,Serving,Manufacturing
634,S,2003KY049,KY,58,1,7,3,855,94,8,3212,4232,321,47,1794,2,.,2,10957.50,2,0,6,2,3,3,3,3,3,2,19,6,2003,.,.,South,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,Therapist,Other,Multiple Parts,Saw,Supervision,Legal
635,S,2003KY053,KY,41,1,7,3,783,721,5,9362,321,633,47,1541,1,16.00,.,1.00,6,0,6,1,1,3,3,3,3,1,27,6,2003,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,Medical Assistant,Hearing Loss,Toe,Fatal,Cleaning,Excavation
636,S,2003KY072,KY,35,1,7,3,557,94,220,6271,41,632,71,1711,1,50.00,11,244.00,3,0,6,2,1,3,3,3,3,1,29,7,2003,.,.,South,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Gardener,Other,Torso,Radiation,Serving,Retail
637,S,2003KY107,KY,38,1,7,3,869,94,8,6271,41,242,47,1623,1,.,.,.,5,0,6,2,3,1,3,3,2,1,3,11,2003,.,.,South,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Manager,Other,Multiple Parts,Radiation,Sanitation,Packaging
638,S,2003MA001,MA,39,1,7,3,505,80,8,3223,19,114,79,8062,1,100.00,15000,4383.00,6,0,6,3,3,3,1,1,3,2,17,2,2003,.,.,Northeast,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Mechanic,Concussion,Multiple Parts,Wrench,Excavation,Entertainment
639,S,2003MA006,MA,57,1,7,3,594,94,8,3439,31,632,47,1542,1,56.00,25,.,7,0,6,3,3,3,1,2,3,2,24,3,2003,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,Secretary,Other,Multiple Parts,Other Container,Serving,Roofing
640,S,2003MA01001,MA,20,1,7,2,453,80,8,624,119,349,75,7349,1,53.00,20000,365.25,2,0,6,1,3,3,1,1,2,1,15,5,2003,90,0,Northeast,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,Truck Driver,Concussion,Multiple Parts,Liquid,Other Transport,Medical
641,S,2003MA01002,MA,47,1,3,1,453,80,8,624,119,349,75,7349,1,53.00,20000,730.50,2,0,6,1,3,3,1,1,2,1,15,5,2003,90,0,Northeast,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,Truck Driver,Concussion,Multiple Parts,Liquid,Other Transport,Medical
642,S,2003MA018,MA,43,1,7,3,869,80,8,3523,433,150,65,1611,1,80.00,270,1095.75,5,0,6,1,1,3,1,3,3,2,5,6,2003,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Manager,Concussion,Multiple Parts,Computer,HVAC,Manufacturing
643,S,2003MA030,MA,28,1,7,3,849,94,8,3434,4233,133,49,7353,1,87.00,35,730.50,.,0,6,3,3,3,3,1,3,2,26,6,2003,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Dentist,Other,Multiple Parts,Bucket,Plumbing,Pharmacy
644,S,2003MA057,MA,42,1,7,3,869,60,10,4813,522,322,92,3271,1,54.00,10,1461.00,.,0,6,3,3,3,2,1,2,1,16,10,2003,.,.,Northeast,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Amputation,Neck,Electricity,Management,Warehousing
645,S,2003MI005,MI,40,1,7,3,869,94,240,8252,431,162,64,1611,1,50.00,.,244.00,4,0,3,1,1,3,1,1,2,1,13,1,2003,.,.,Midwest,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,Manager,Other,Chest,Wall,Welding,Manufacturing
646,S,2003NE019,NE,22,1,3,3,235,60,10,623,117,321,47,1799,1,17.00,50,1278.75,5,0,6,1,3,3,1,1,3,1,16,6,2003,1200,1,Midwest,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,Foreman,Amputation,Neck,Gas,Supervision,Miscellaneous
647,S,2003NJ010,NJ,35,1,1,3,869,80,8,4130,21,632,47,1611,1,48.00,160,.,8,0,6,3,3,3,1,3,3,1,4,2,2003,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Manager,Concussion,Multiple Parts,Ramp,Serving,Manufacturing
648,S,2003NJ091,NJ,66,1,3,1,567,60,10,624,116,312,14,1521,3,4.00,4,1461.00,5,0,6,2,3,3,2,3,2,2,1,10,2003,11,1,Northeast,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Molder,Amputation,Neck,Liquid,Clerical,Construction
649,S,2003OK047,OK,20,1,7,3,869,86,8,8252,431,321,65,1611,1,31.00,100,44.50,20,0,6,2,3,3,3,1,3,1,20,6,2003,.,.,South,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Manager,Poisoning,Multiple Parts,Wall,Supervision,Manufacturing
650,S,2003OR010,OR,41,1,1,3,869,68,18,6222,1121,311,14,1751,1,3.00,.,4748.25,3,0,6,3,3,3,2,2,2,1,16,5,2003,23,1,West,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,Manager,Internal Injury,Hand,Liquid,Office Work,Healthcare
651,S,2003OR015,OR,32,1,7,3,869,60,10,3223,31,324,93,1542,3,.,.,.,.,0,6,3,1,3,3,3,3,1,3,6,2003,.,.,West,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Amputation,Neck,Wrench,Training,Roofing
652,S,2003OR016,OR,32,1,3,1,567,60,10,4151,21,611,14,1751,1,.,.,730.50,5,0,6,1,3,3,3,3,3,1,.,.,2003,.,.,West,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,1,1,2,Molder,Amputation,Neck,Soil,Education,Healthcare
653,S,2003OR040,OR,45,1,7,3,558,37,10,7192,222,324,31,1611,2,22.00,.,8035.50,3,0,6,3,3,3,3,1,3,2,23,11,2003,.,.,West,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Landscaper,Bruise/Contusion,Neck,Other,Training,Manufacturing
654,S,2003WI042,WI,43,1,3,1,579,80,8,623,1154,362,14,1721,1,.,.,.,4,0,6,2,3,3,2,3,2,1,18,7,2003,20,1,Midwest,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,Forklift Operator,Concussion,Multiple Parts,Gas,Customer Service,Wholesale
655,S,2003WI048,WI,29,1,3,1,599,80,8,6221,1152,244,47,1799,1,5.00,7,183.00,5,0,6,1,1,1,1,1,1,1,7,8,2003,21,1,Midwest,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,Records Clerk,Concussion,Multiple Parts,Gas,Waste Disposal,Miscellaneous
656,S,2003WI097,WI,45,1,1,3,567,60,10,6221,116,312,47,1751,2,.,2,.,6,0,6,2,3,3,3,3,2,1,10,12,2003,11,1,Midwest,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,Molder,Amputation,Neck,Gas,Clerical,Healthcare
657,S,2003WV022,WV,46,1,7,3,855,94,8,3212,4233,114,65,2411,1,15.00,3,21.00,1,0,6,2,3,3,3,3,3,2,13,8,2003,.,.,South,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Therapist,Other,Multiple Parts,Saw,Excavation,Mining
658,I,2004-0501,OH,30,1,7,3,597,80,8,3432,44,330,65,1622,1,125.00,2800,.,9,4,6,1,2,3,1,1,1,1,16,2,2004,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Data Entry Clerk,Concussion,Multiple Parts,Jug,Other Office,Assembly
