Scenario,Risk_Level,Cause_of_Accident,Keywords
Machine operator suffered amputation to the neck while excavation with escalator in food service.,High,Amputation due to Escalator during Excavation,"Machine Operator, Amputation, Neck, Escalator, Excavation, Food Service"
Forklift operator suffered amputation to the neck while teaching with liquid in construction.,Medium,Amputation due to Liquid during Teaching,"Forklift Operator, Amputation, Neck, Liquid, Teaching, Construction"
Records clerk suffered concussion to the multiple parts while clerical with vehicle in education.,Low,Concussion due to Vehicle during Clerical,"Records Clerk, Concussion, Multiple Parts, Vehicle, Clerical, Education"
Data entry clerk suffered no injury to the unknown while other medical with dust in insurance.,High,No Injury due to Dust during Other Medical,"Data Entry Clerk, No Injury, Unknown, Dust, Other Medical, Insurance"
Molder suffered amputation to the neck while clerical with rock in construction.,Low,Amputation due to Rock during Clerical,"Molder, Amputation, Neck, Rock, Clerical, Construction"
Administrative assistant suffered no injury to the unknown while education with chemical in education.,Medium,No Injury due to Chemical during Education,"Administrative Assistant, No Injury, Unknown, Chemical, Education"
Manager suffered concussion to the multiple parts while welding with wrench in unknown.,Low,Concussion due to Wrench during Welding,"Manager, Concussion, Multiple Parts, Wrench, Welding, Unknown"
Manager suffered no injury to the unknown while roofing with saw in manufacturing.,Medium,No Injury due to Saw during Roofing,"Manager, No Injury, Unknown, Saw, Roofing, Manufacturing"
Machine operator suffered concussion to the multiple parts while clerical with crane in roofing.,Medium,Concussion due to Crane during Clerical,"Machine Operator, Concussion, Multiple Parts, Crane, Clerical, Roofing"
Machine operator suffered concussion to the multiple parts while clerical with crane in roofing.,High,Concussion due to Crane during Clerical,"Machine Operator, Concussion, Multiple Parts, Crane, Clerical, Roofing"
Landscaper suffered amputation to the shoulder while clerical with other chemical in education.,Medium,Amputation due to Other Chemical during Clerical,"Landscaper, Amputation, Shoulder, Other Chemical, Clerical, Education"
Landscaper suffered concussion to the multiple parts while office work with gas in packaging.,Medium,Concussion due to Gas during Office Work,"Landscaper, Concussion, Multiple Parts, Gas, Office Work, Packaging"
Data entry clerk suffered poisoning to the multiple parts while clerical with fire in packaging.,High,Poisoning due to Fire during Clerical,"Data Entry Clerk, Poisoning, Multiple Parts, Fire, Clerical, Packaging"
Data entry clerk suffered amputation to the neck while education with gas in excavation.,Medium,Amputation due to Gas during Education,"Data Entry Clerk, Amputation, Neck, Gas, Education, Excavation"
Custodian suffered seizure to the toe while other office with vehicle in food service.,Medium,Seizure due to Vehicle during Other Office,"Custodian, Seizure, Toe, Vehicle, Other Office, Food Service"
Architect suffered seizure to the toe while clerical with vehicle in food service.,Medium,Seizure due to Vehicle during Clerical,"Architect, Seizure, Toe, Vehicle, Clerical, Food Service"
Architect suffered burn to the multiple parts while other office with vehicle in food service.,Low,Burn due to Vehicle during Other Office,"Architect, Burn, Multiple Parts, Vehicle, Other Office, Food Service"
Molder suffered other to the torso while clerical with steam in demolition.,Low,Other due to Steam during Clerical,"Molder, Other, Torso, Steam, Clerical, Demolition"
Molder suffered other to the torso while serving with soil in construction.,Low,Other due to Soil during Serving,"Molder, Other, Torso, Soil, Serving, Construction"
Program coordinator suffered other to the torso while excavation with customer in accounting.,High,Other due to Customer during Excavation,"Program Coordinator, Other, Torso, Customer, Excavation, Accounting"
Molder suffered amputation to the neck while office work with gas in healthcare.,High,Amputation due to Gas during Office Work,"Molder, Amputation, Neck, Gas, Office Work, Healthcare"
Data entry clerk suffered asphyxia to the multiple parts while office work with other structure in insurance.,Low,Asphyxia due to Other Structure during Office Work,"Data Entry Clerk, Asphyxia, Multiple Parts, Other Structure, Office Work, Insurance"
Social worker suffered other to the torso while packaging with power tool in roofing.,Low,Other due to Power Tool during Packaging,"Social Worker, Other, Torso, Power Tool, Packaging, Roofing"
Manager suffered other to the torso while other education with rock in manufacturing.,High,Other due to Rock during Other Education,"Manager, Other, Torso, Rock, Other Education, Manufacturing"
Program coordinator suffered amputation to the hand while law enforcement with gas in education.,Low,Amputation due to Gas during Law Enforcement,"Program Coordinator, Amputation, Hand, Gas, Law Enforcement, Education"
Stock clerk suffered other to the torso while supervision with radiation in packaging.,High,Other due to Radiation during Supervision,"Stock Clerk, Other, Torso, Radiation, Supervision, Packaging"
Manager suffered internal injury to the hand while data entry with gas in excavation.,Medium,Internal Injury due to Gas during Data Entry,"Manager, Internal Injury, Hand, Gas, Data Entry, Excavation"
Data entry clerk suffered poisoning to the multiple parts while assembly with escalator in insurance.,High,Poisoning due to Escalator during Assembly,"Data Entry Clerk, Poisoning, Multiple Parts, Escalator, Assembly, Insurance"
Manager suffered amputation to the neck while clerical with gas in healthcare.,Low,Amputation due to Gas during Clerical,"Manager, Amputation, Neck, Gas, Clerical, Healthcare"
Manager suffered bruise/contusion to the chest while clerical with shelf in assembly.,High,Bruise/Contusion due to Shelf during Clerical,"Manager, Bruise/Contusion, Chest, Shelf, Clerical, Assembly"
Groundskeeper suffered crushing to the finger while customer service with gas in wholesale.,Low,Crushing due to Gas during Customer Service,"Groundskeeper, Crushing, Finger, Gas, Customer Service, Wholesale"
Manager suffered other to the torso while excavation with public in manufacturing.,Low,Other due to Public during Excavation,"Manager, Other, Torso, Public, Excavation, Manufacturing"
Nurse suffered other to the torso while training with wall in other health.,High,Other due to Wall during Training,"Nurse, Other, Torso, Wall, Training, Other Health"
Architect suffered amputation to the neck while other education with gas in food service.,Low,Amputation due to Gas during Other Education,"Architect, Amputation, Neck, Gas, Other Education, Food Service"
Manager suffered no injury to the unknown while security with radiation in legal.,Low,No Injury due to Radiation during Security,"Manager, No Injury, Unknown, Radiation, Security, Legal"
Secretary suffered other to the torso while excavation with sheet in manufacturing.,Medium,Other due to Sheet during Excavation,"Secretary, Other, Torso, Sheet, Excavation, Manufacturing"
Manager suffered seizure to the toe while therapy with machine in packaging.,Low,Seizure due to Machine during Therapy,"Manager, Seizure, Toe, Machine, Therapy, Packaging"
File clerk suffered other to the multiple parts while other construction with other building in other manufacturing.,Medium,Other due to Other Building during Other Construction,"File Clerk, Other, Multiple Parts, Other Building, Other Construction, Other Manufacturing"
Program coordinator suffered seizure to the toe while pharmacy with vehicle in finance.,Low,Seizure due to Vehicle during Pharmacy,"Program Coordinator, Seizure, Toe, Vehicle, Pharmacy, Finance"
Emt suffered other to the torso while roofing with water in miscellaneous.,High,Other due to Water during Roofing,"EMT, Other, Torso, Water, Roofing, Miscellaneous"
Engineer suffered amputation to the neck while manufacturing with wall in roofing.,Low,Amputation due to Wall during Manufacturing,"Engineer, Amputation, Neck, Wall, Manufacturing, Roofing"
File clerk suffered other to the torso while other food with power tool in finance.,High,Other due to Power Tool during Other Food,"File Clerk, Other, Torso, Power Tool, Other Food, Finance"
Data entry clerk suffered amputation to the neck while cleaning with gas in insurance.,High,Amputation due to Gas during Cleaning,"Data Entry Clerk, Amputation, Neck, Gas, Cleaning, Insurance"
Landscaper suffered internal injury to the arm while therapy with gas in construction.,Medium,Internal Injury due to Gas during Therapy,"Landscaper, Internal Injury, Arm, Gas, Therapy, Construction"
Firefighter suffered concussion to the unknown while other education with gas in retail.,Medium,Concussion due to Gas during Other Education,"Firefighter, Concussion, Unknown, Gas, Other Education, Retail"
Manager suffered concussion to the unknown while other cleaning with wall in manufacturing.,Medium,Concussion due to Wall during Other Cleaning,"Manager, Concussion, Unknown, Wall, Other Cleaning, Manufacturing"
Data entry clerk suffered concussion to the multiple parts while planning with other particle in packaging.,Medium,Concussion due to Other Particle during Planning,"Data Entry Clerk, Concussion, Multiple Parts, Other Particle, Planning, Packaging"
Records clerk suffered sprain/strain to the neck while construction with floor in manufacturing.,High,Sprain/Strain due to Floor during Construction,"Records Clerk, Sprain/Strain, Neck, Floor, Construction, Manufacturing"
Manager suffered amputation to the neck while clerical with gas in excavation.,High,Amputation due to Gas during Clerical,"Manager, Amputation, Neck, Gas, Clerical, Excavation"
Landscaper suffered amputation to the neck while clerical with gas in tourism.,Medium,Amputation due to Gas during Clerical,"Landscaper, Amputation, Neck, Gas, Clerical, Tourism"
Custodian suffered seizure to the toe while testing with forklift in food service.,Low,Seizure due to Forklift during Testing,"Custodian, Seizure, Toe, Forklift, Testing, Food Service"
Stock clerk suffered other to the torso while pharmacy with power tool in retail.,High,Other due to Power Tool during Pharmacy,"Stock Clerk, Other, Torso, Power Tool, Pharmacy, Retail"
Landscaper suffered amputation to the neck while other office with gate in finance.,Medium,Amputation due to Gate during Other Office,"Landscaper, Amputation, Neck, Gate, Other Office, Finance"
Records clerk suffered poisoning to the multiple parts while hvac with wall in manufacturing.,Low,Poisoning due to Wall during HVAC,"Records Clerk, Poisoning, Multiple Parts, Wall, HVAC, Manufacturing"
Doctor suffered other to the torso while excavation with saw in legal.,Medium,Other due to Saw during Excavation,"Doctor, Other, Torso, Saw, Excavation, Legal"
Manager suffered concussion to the multiple parts while hvac with structure in manufacturing.,Low,Concussion due to Structure during HVAC,"Manager, Concussion, Multiple Parts, Structure, HVAC, Manufacturing"
Manager suffered other to the torso while other office with radiation in legal.,High,Other due to Radiation during Other Office,"Manager, Other, Torso, Radiation, Other Office, Legal"
Nurse suffered internal injury to the arm while demolition with building in manufacturing.,Medium,Internal Injury due to Building during Demolition,"Nurse, Internal Injury, Arm, Building, Demolition, Manufacturing"
Forklift operator suffered concussion to the multiple parts while framing with gas in wholesale.,Medium,Concussion due to Gas during Framing,"Forklift Operator, Concussion, Multiple Parts, Gas, Framing, Wholesale"
Forklift operator suffered concussion to the multiple parts while framing with gas in wholesale.,Medium,Concussion due to Gas during Framing,"Forklift Operator, Concussion, Multiple Parts, Gas, Framing, Wholesale"
Forklift operator suffered concussion to the multiple parts while framing with gas in wholesale.,Medium,Concussion due to Gas during Framing,"Forklift Operator, Concussion, Multiple Parts, Gas, Framing, Wholesale"
Manager suffered concussion to the multiple parts while serving with other tool in accommodation.,Medium,Concussion due to Other Tool during Serving,"Manager, Concussion, Multiple Parts, Other Tool, Serving, Accommodation"
Molder suffered concussion to the multiple parts while data entry with bucket in roofing.,High,Concussion due to Bucket during Data Entry,"Molder, Concussion, Multiple Parts, Bucket, Data Entry, Roofing"
Manager suffered amputation to the neck while surgery with gas in healthcare.,High,Amputation due to Gas during Surgery,"Manager, Amputation, Neck, Gas, Surgery, Healthcare"
Secretary suffered amputation to the neck while excavation with panel in manufacturing.,Medium,Amputation due to Panel during Excavation,"Secretary, Amputation, Neck, Panel, Excavation, Manufacturing"
Medical assistant suffered concussion to the multiple parts while quality control with crane in other professional.,Medium,Concussion due to Crane during Quality Control,"Medical Assistant, Concussion, Multiple Parts, Crane, Quality Control, Other Professional"
Manager suffered concussion to the multiple parts while pharmacy with escalator in insurance.,Medium,Concussion due to Escalator during Pharmacy,"Manager, Concussion, Multiple Parts, Escalator, Pharmacy, Insurance"
Manager suffered concussion to the multiple parts while other medical with person in manufacturing.,Low,Concussion due to Person during Other Medical,"Manager, Concussion, Multiple Parts, Person, Other Medical, Manufacturing"
Electrician suffered other to the torso while other office with wall in manufacturing.,Low,Other due to Wall during Other Office,"Electrician, Other, Torso, Wall, Other Office, Manufacturing"
Manager suffered other to the torso while hvac with wall in manufacturing.,Low,Other due to Wall during HVAC,"Manager, Other, Torso, Wall, HVAC, Manufacturing"
Machine operator suffered other to the torso while management with chair in food service.,Medium,Other due to Chair during Management,"Machine Operator, Other, Torso, Chair, Management, Food Service"
Records clerk suffered concussion to the multiple parts while office work with gas in other manufacturing.,Low,Concussion due to Gas during Office Work,"Records Clerk, Concussion, Multiple Parts, Gas, Office Work, Other Manufacturing"
Manager suffered other to the multiple parts while other public safety with stairs in miscellaneous.,Medium,Other due to Stairs during Other Public Safety,"Manager, Other, Multiple Parts, Stairs, Other Public Safety, Miscellaneous"
Welder suffered concussion to the multiple parts while hvac with ceiling in police.,High,Concussion due to Ceiling during HVAC,"Welder, Concussion, Multiple Parts, Ceiling, HVAC, Police"
Manager suffered amputation to the neck while packaging with power tool in roofing.,Low,Amputation due to Power Tool during Packaging,"Manager, Amputation, Neck, Power Tool, Packaging, Roofing"
Manager suffered other to the multiple parts while supervision with sheet in manufacturing.,High,Other due to Sheet during Supervision,"Manager, Other, Multiple Parts, Sheet, Supervision, Manufacturing"
Psychologist suffered stroke to the toe while demolition with other fatal in miscellaneous.,Medium,Stroke due to Other Fatal during Demolition,"Psychologist, Stroke, Toe, Other Fatal, Demolition, Miscellaneous"
Landscaper suffered poisoning to the multiple parts while other manufacturing with other building in manufacturing.,Low,Poisoning due to Other Building during Other Manufacturing,"Landscaper, Poisoning, Multiple Parts, Other Building, Other Manufacturing, Manufacturing"
Data entry clerk suffered other to the torso while manufacturing with gas in insurance.,Medium,Other due to Gas during Manufacturing,"Data Entry Clerk, Other, Torso, Gas, Manufacturing, Insurance"
Machine operator suffered concussion to the multiple parts while clerical with other fatal in food service.,High,Concussion due to Other Fatal during Clerical,"Machine Operator, Concussion, Multiple Parts, Other Fatal, Clerical, Food Service"
Manager suffered stroke to the toe while other with other fatal in other manufacturing.,Medium,Stroke due to Other Fatal during Other,"Manager, Stroke, Toe, Other Fatal, Other, Other Manufacturing"
Nurse suffered concussion to the multiple parts while demolition with other building in public administration.,Medium,Concussion due to Other Building during Demolition,"Nurse, Concussion, Multiple Parts, Other Building, Demolition, Public Administration"
Manager suffered concussion to the multiple parts while other entertainment with wall in manufacturing.,Low,Concussion due to Wall during Other Entertainment,"Manager, Concussion, Multiple Parts, Wall, Other Entertainment, Manufacturing"
Machinist suffered other to the torso while supervision with wall in manufacturing.,Medium,Other due to Wall during Supervision,"Machinist, Other, Torso, Wall, Supervision, Manufacturing"
Therapist suffered concussion to the multiple parts while packaging with saw in miscellaneous.,Medium,Concussion due to Saw during Packaging,"Therapist, Concussion, Multiple Parts, Saw, Packaging, Miscellaneous"
Manager suffered poisoning to the multiple parts while driving with coworker in manufacturing.,Medium,Poisoning due to Coworker during Driving,"Manager, Poisoning, Multiple Parts, Coworker, Driving, Manufacturing"
Manager suffered poisoning to the multiple parts while clerical with coworker in manufacturing.,Medium,Poisoning due to Coworker during Clerical,"Manager, Poisoning, Multiple Parts, Coworker, Clerical, Manufacturing"
Manager suffered poisoning to the multiple parts while supervision with gas in logistics.,High,Poisoning due to Gas during Supervision,"Manager, Poisoning, Multiple Parts, Gas, Supervision, Logistics"
Manager suffered amputation to the neck while data entry with gas in education.,High,Amputation due to Gas during Data Entry,"Manager, Amputation, Neck, Gas, Data Entry, Education"
Manager suffered amputation to the neck while other office with other building in manufacturing.,High,Amputation due to Other Building during Other Office,"Manager, Amputation, Neck, Other Building, Other Office, Manufacturing"
Engineer suffered amputation to the neck while training with power tool in legal.,Low,Amputation due to Power Tool during Training,"Engineer, Amputation, Neck, Power Tool, Training, Legal"
Therapist suffered other to the multiple parts while other construction with hammer in demolition.,Medium,Other due to Hammer during Other Construction,"Therapist, Other, Multiple Parts, Hammer, Other Construction, Demolition"
Records clerk suffered seizure to the toe while excavation with vehicle in manufacturing.,Low,Seizure due to Vehicle during Excavation,"Records Clerk, Seizure, Toe, Vehicle, Excavation, Manufacturing"
Manager suffered other to the multiple parts while other food with escalator in demolition.,High,Other due to Escalator during Other Food,"Manager, Other, Multiple Parts, Escalator, Other Food, Demolition"
Social worker suffered amputation to the neck while packaging with hammer in legal.,High,Amputation due to Hammer during Packaging,"Social Worker, Amputation, Neck, Hammer, Packaging, Legal"
Dentist suffered amputation to the neck while pharmacy with barrel in other services.,Medium,Amputation due to Barrel during Pharmacy,"Dentist, Amputation, Neck, Barrel, Pharmacy, Other Services"
Painter suffered concussion to the multiple parts while other office with panel in roofing.,Medium,Concussion due to Panel during Other Office,"Painter, Concussion, Multiple Parts, Panel, Other Office, Roofing"
Molder suffered concussion to the multiple parts while other office with power tool in roofing.,Low,Concussion due to Power Tool during Other Office,"Molder, Concussion, Multiple Parts, Power Tool, Other Office, Roofing"
Forklift operator suffered other to the torso while supervision with coworker in public administration.,Low,Other due to Coworker during Supervision,"Forklift Operator, Other, Torso, Coworker, Supervision, Public Administration"
Pharmacist suffered other to the torso while shipping with other hand tool in legal.,Medium,Other due to Other Hand Tool during Shipping,"Pharmacist, Other, Torso, Other Hand Tool, Shipping, Legal"
Assembler suffered concussion to the multiple parts while cleaning with other structure in accommodation.,Medium,Concussion due to Other Structure during Cleaning,"Assembler, Concussion, Multiple Parts, Other Structure, Cleaning, Accommodation"
Welder suffered poisoning to the multiple parts while hvac with wall in police.,Low,Poisoning due to Wall during HVAC,"Welder, Poisoning, Multiple Parts, Wall, HVAC, Police"
Crane operator suffered other to the multiple parts while excavation with wrench in forestry.,Low,Other due to Wrench during Excavation,"Crane Operator, Other, Multiple Parts, Wrench, Excavation, Forestry"
Manager suffered other to the chest while planning with customer in public administration.,Low,Other due to Customer during Planning,"Manager, Other, Chest, Customer, Planning, Public Administration"
Manager suffered other to the spine while unknown with coworker in accommodation.,Medium,Other due to Coworker during Unknown,"Manager, Other, Spine, Coworker, Unknown, Accommodation"
Manager suffered poisoning to the multiple parts while serving with panel in manufacturing.,Low,Poisoning due to Panel during Serving,"Manager, Poisoning, Multiple Parts, Panel, Serving, Manufacturing"
Nurse suffered unknown to the neck while management with wall in legal.,High,Unknown due to Wall during Management,"Nurse, Unknown, Neck, Wall, Management, Legal"
Manager suffered other to the torso while shipping with crane in accommodation.,Medium,Other due to Crane during Shipping,"Manager, Other, Torso, Crane, Shipping, Accommodation"
Doctor suffered amputation to the neck while demolition with wall in miscellaneous.,Medium,Amputation due to Wall during Demolition,"Doctor, Amputation, Neck, Wall, Demolition, Miscellaneous"
Manager suffered poisoning to the multiple parts while other public safety with saw in construction.,Medium,Poisoning due to Saw during Other Public Safety,"Manager, Poisoning, Multiple Parts, Saw, Other Public Safety, Construction"
Manager suffered poisoning to the multiple parts while performance with coworker in manufacturing.,High,Poisoning due to Coworker during Performance,"Manager, Poisoning, Multiple Parts, Coworker, Performance, Manufacturing"
Nurse suffered concussion to the multiple parts while roofing with power tool in manufacturing.,Medium,Concussion due to Power Tool during Roofing,"Nurse, Concussion, Multiple Parts, Power Tool, Roofing, Manufacturing"
Manager suffered amputation to the neck while hvac with wrench in packaging.,Low,Amputation due to Wrench during HVAC,"Manager, Amputation, Neck, Wrench, HVAC, Packaging"
Molder suffered poisoning to the multiple parts while cleaning with window in roofing.,High,Poisoning due to Window during Cleaning,"Molder, Poisoning, Multiple Parts, Window, Cleaning, Roofing"
Manager suffered other to the multiple parts while planning with other hand tool in public administration.,Low,Other due to Other Hand Tool during Planning,"Manager, Other, Multiple Parts, Other Hand Tool, Planning, Public Administration"
Manager suffered amputation to the neck while waste disposal with power tool in manufacturing.,High,Amputation due to Power Tool during Waste Disposal,"Manager, Amputation, Neck, Power Tool, Waste Disposal, Manufacturing"
Manager suffered other to the multiple parts while security with radiation in packaging.,High,Other due to Radiation during Security,"Manager, Other, Multiple Parts, Radiation, Security, Packaging"
File clerk suffered amputation to the neck while packaging with pipe in packaging.,High,Amputation due to Pipe during Packaging,"File Clerk, Amputation, Neck, Pipe, Packaging"
Administrative assistant suffered amputation to the neck while cleaning with liquid in education.,High,Amputation due to Liquid during Cleaning,"Administrative Assistant, Amputation, Neck, Liquid, Cleaning, Education"
Manager suffered amputation to the neck while maintenance with noise in retail.,High,Amputation due to Noise during Maintenance,"Manager, Amputation, Neck, Noise, Maintenance, Retail"
Records clerk suffered amputation to the arm while clerical with machine in packaging.,High,Amputation due to Machine during Clerical,"Records Clerk, Amputation, Arm, Machine, Clerical, Packaging"
Nurse suffered asphyxia to the multiple parts while shipping with ceiling in delivery.,Medium,Asphyxia due to Ceiling during Shipping,"Nurse, Asphyxia, Multiple Parts, Ceiling, Shipping, Delivery"
Nurse suffered amputation to the neck while pharmacy with escalator in oil & gas.,High,Amputation due to Escalator during Pharmacy,"Nurse, Amputation, Neck, Escalator, Pharmacy, Oil & Gas"
Manager suffered shock to the multiple parts while surgery with steam in education.,Low,Shock due to Steam during Surgery,"Manager, Shock, Multiple Parts, Steam, Surgery, Education"
Landscaper suffered asphyxia to the multiple parts while food service with ceiling in consulting.,Low,Asphyxia due to Ceiling during Food Service,"Landscaper, Asphyxia, Multiple Parts, Ceiling, Food Service, Consulting"
Manager suffered other to the torso while manufacturing with cabinet in roofing.,High,Other due to Cabinet during Manufacturing,"Manager, Other, Torso, Cabinet, Manufacturing, Roofing"
Manager suffered other to the torso while other transport with gas in accommodation.,High,Other due to Gas during Other Transport,"Manager, Other, Torso, Gas, Other Transport, Accommodation"
Manager suffered internal injury to the arm while serving with radiation in food service.,Medium,Internal Injury due to Radiation during Serving,"Manager, Internal Injury, Arm, Radiation, Serving, Food Service"
Manager suffered internal injury to the arm while serving with radiation in food service.,High,Internal Injury due to Radiation during Serving,"Manager, Internal Injury, Arm, Radiation, Serving, Food Service"
Stock clerk suffered concussion to the multiple parts while serving with other tool in manufacturing.,Medium,Concussion due to Other Tool during Serving,"Stock Clerk, Concussion, Multiple Parts, Other Tool, Serving, Manufacturing"
Manager suffered heart attack to the neck while loading with debris in accommodation.,Low,Heart Attack due to Debris during Loading,"Manager, Heart Attack, Neck, Debris, Loading, Accommodation"
Manager suffered concussion to the multiple parts while serving with floor in manufacturing.,Low,Concussion due to Floor during Serving,"Manager, Concussion, Multiple Parts, Floor, Serving, Manufacturing"
Therapist suffered other to the multiple parts while supervision with saw in legal.,Low,Other due to Saw during Supervision,"Therapist, Other, Multiple Parts, Saw, Supervision, Legal"
Medical assistant suffered hearing loss to the toe while cleaning with fatal in excavation.,Low,Hearing Loss due to Fatal during Cleaning,"Medical Assistant, Hearing Loss, Toe, Fatal, Cleaning, Excavation"
Gardener suffered other to the torso while serving with radiation in retail.,Medium,Other due to Radiation during Serving,"Gardener, Other, Torso, Radiation, Serving, Retail"
Manager suffered other to the multiple parts while sanitation with radiation in packaging.,Low,Other due to Radiation during Sanitation,"Manager, Other, Multiple Parts, Radiation, Sanitation, Packaging"
Mechanic suffered concussion to the multiple parts while excavation with wrench in entertainment.,Medium,Concussion due to Wrench during Excavation,"Mechanic, Concussion, Multiple Parts, Wrench, Excavation, Entertainment"
Secretary suffered other to the multiple parts while serving with other container in roofing.,Medium,Other due to Other Container during Serving,"Secretary, Other, Multiple Parts, Other Container, Serving, Roofing"
Truck driver suffered concussion to the multiple parts while other transport with liquid in medical.,Medium,Concussion due to Liquid during Other Transport,"Truck Driver, Concussion, Multiple Parts, Liquid, Other Transport, Medical"
Truck driver suffered concussion to the multiple parts while other transport with liquid in medical.,Low,Concussion due to Liquid during Other Transport,"Truck Driver, Concussion, Multiple Parts, Liquid, Other Transport, Medical"
Manager suffered concussion to the multiple parts while hvac with computer in manufacturing.,High,Concussion due to Computer during HVAC,"Manager, Concussion, Multiple Parts, Computer, HVAC, Manufacturing"
Dentist suffered other to the multiple parts while plumbing with bucket in pharmacy.,Low,Other due to Bucket during Plumbing,"Dentist, Other, Multiple Parts, Bucket, Plumbing, Pharmacy"
Manager suffered amputation to the neck while management with electricity in warehousing.,High,Amputation due to Electricity during Management,"Manager, Amputation, Neck, Electricity, Management, Warehousing"
Manager suffered other to the chest while welding with wall in manufacturing.,Medium,Other due to Wall during Welding,"Manager, Other, Chest, Wall, Welding, Manufacturing"
Foreman suffered amputation to the neck while supervision with gas in miscellaneous.,High,Amputation due to Gas during Supervision,"Foreman, Amputation, Neck, Gas, Supervision, Miscellaneous"
Manager suffered concussion to the multiple parts while serving with ramp in manufacturing.,Medium,Concussion due to Ramp during Serving,"Manager, Concussion, Multiple Parts, Ramp, Serving, Manufacturing"
Molder suffered amputation to the neck while clerical with liquid in construction.,High,Amputation due to Liquid during Clerical,"Molder, Amputation, Neck, Liquid, Clerical, Construction"
Manager suffered poisoning to the multiple parts while supervision with wall in manufacturing.,High,Poisoning due to Wall during Supervision,"Manager, Poisoning, Multiple Parts, Wall, Supervision, Manufacturing"
Manager suffered internal injury to the hand while office work with liquid in healthcare.,High,Internal Injury due to Liquid during Office Work,"Manager, Internal Injury, Hand, Liquid, Office Work, Healthcare"
Manager suffered amputation to the neck while training with wrench in roofing.,Low,Amputation due to Wrench during Training,"Manager, Amputation, Neck, Wrench, Training, Roofing"
Molder suffered amputation to the neck while education with soil in healthcare.,Medium,Amputation due to Soil during Education,"Molder, Amputation, Neck, Soil, Education, Healthcare"
Landscaper suffered bruise/contusion to the neck while training with other in manufacturing.,Medium,Bruise/Contusion due to Other during Training,"Landscaper, Bruise/Contusion, Neck, Other, Training, Manufacturing"
Forklift operator suffered concussion to the multiple parts while customer service with gas in wholesale.,High,Concussion due to Gas during Customer Service,"Forklift Operator, Concussion, Multiple Parts, Gas, Customer Service, Wholesale"
Records clerk suffered concussion to the multiple parts while waste disposal with gas in miscellaneous.,Low,Concussion due to Gas during Waste Disposal,"Records Clerk, Concussion, Multiple Parts, Gas, Waste Disposal, Miscellaneous"
Molder suffered amputation to the neck while clerical with gas in healthcare.,Medium,Amputation due to Gas during Clerical,"Molder, Amputation, Neck, Gas, Clerical, Healthcare"
Therapist suffered other to the multiple parts while excavation with saw in mining.,Medium,Other due to Saw during Excavation,"Therapist, Other, Multiple Parts, Saw, Excavation, Mining"
Data entry clerk suffered concussion to the multiple parts while other office with jug in assembly.,Medium,Concussion due to Jug during Other Office,"Data Entry Clerk, Concussion, Multiple Parts, Jug, Other Office, Assembly"
Data entry clerk suffered concussion to the multiple parts while other office with jug in assembly.,Medium,Concussion due to Jug during Other Office,"Data Entry Clerk, Concussion, Multiple Parts, Jug, Other Office, Assembly"
Data entry clerk suffered concussion to the multiple parts while office work with jug in assembly.,High,Concussion due to Jug during Office Work,"Data Entry Clerk, Concussion, Multiple Parts, Jug, Office Work, Assembly"
Data entry clerk suffered concussion to the multiple parts while office work with jug in assembly.,Low,Concussion due to Jug during Office Work,"Data Entry Clerk, Concussion, Multiple Parts, Jug, Office Work, Assembly"
Manager suffered crushing to the shoulder while cleaning with liquid in healthcare.,Medium,Crushing due to Liquid during Cleaning,"Manager, Crushing, Shoulder, Liquid, Cleaning, Healthcare"
Researcher suffered other to the torso while repair with power tool in legal.,Medium,Other due to Power Tool during Repair,"Researcher, Other, Torso, Power Tool, Repair, Legal"
Records clerk suffered concussion to the multiple parts while hvac with wall in manufacturing.,Medium,Concussion due to Wall during HVAC,"Records Clerk, Concussion, Multiple Parts, Wall, HVAC, Manufacturing"
Records clerk suffered chemical burn to the multiple parts while sales with unknown in medical.,Medium,Chemical Burn due to Unknown during Sales,"Records Clerk, Chemical Burn, Multiple Parts, Unknown, Sales, Medical"
Records clerk suffered chemical burn to the multiple parts while sales with unknown in medical.,Medium,Chemical Burn due to Unknown during Sales,"Records Clerk, Chemical Burn, Multiple Parts, Unknown, Sales, Medical"
Administrative assistant suffered seizure to the toe while pharmacy with vehicle in education.,High,Seizure due to Vehicle during Pharmacy,"Administrative Assistant, Seizure, Toe, Vehicle, Pharmacy, Education"
Landscaper suffered poisoning to the multiple parts while packaging with hammer in other manufacturing.,High,Poisoning due to Hammer during Packaging,"Landscaper, Poisoning, Multiple Parts, Hammer, Packaging, Other Manufacturing"
Molder suffered heart attack to the torso while other office with radiation in public administration.,High,Heart Attack due to Radiation during Other Office,"Molder, Heart Attack, Torso, Radiation, Other Office, Public Administration"
Manager suffered crushing to the finger while education with liquid in education.,Medium,Crushing due to Liquid during Education,"Manager, Crushing, Finger, Liquid, Education"
Toolmaker suffered fatal injury to the toe while clerical with building in medical.,High,Fatal Injury due to Building during Clerical,"Toolmaker, Fatal Injury, Toe, Building, Clerical, Medical"
Safety officer suffered concussion to the multiple parts while training with gas in miscellaneous.,Low,Concussion due to Gas during Training,"Safety Officer, Concussion, Multiple Parts, Gas, Training, Miscellaneous"
Landscaper suffered amputation to the neck while cleaning with other person in hardware.,High,Amputation due to Other Person during Cleaning,"Landscaper, Amputation, Neck, Other Person, Cleaning, Hardware"
